"","Artibeus fimbriatus","Artibeus lituratus","Artibeus obscurus","Carollia perspicillata","Platyrrhinus lineatus","Sturnira lilium","Vampyressa pusilla"
"Cecropia glaziovii",0,3,0,0,0,3,0
"Cecropia hololeuca",0,0,0,0,0,1,0
"Cecropia pachystachya",0,1,2,0,0,0,0
"Clusiaceae Aguiar2007.unidsp.mult",0,0,0,1,0,0,0
"Ficus Aguiar2007.unidsp.mult",0,0,0,5,0,0,0
"Piper aduncum",0,0,0,18,0,0,0
"Piper Aguiar2007.unidsp.1",0,0,0,8,0,1,0
"Piper amalago",1,0,1,27,0,0,0
"Piper crassinervium",1,0,3,37,0,2,0
"Solanaceae Aguiar2007.unidsp.1",0,0,0,3,0,0,0
"Solanaceae Aguiar2007.unidsp.2",0,0,0,3,0,0,0
"Solanaceae Aguiar2007.unidsp.3",0,0,0,6,0,2,0
"Solanaceae Aguiar2007.unidsp.4",0,0,0,2,0,0,0
"Solanaceae Aguiar2007.unidsp.5",0,0,0,3,0,0,0
"Unidentified Aguiar2007.unidsp.1",1,0,0,6,0,2,0
"Unidentified Aguiar2007.unidsp.2",0,0,0,0,2,0,1
"Unidentified Aguiar2007.unidsp.3",0,1,0,1,0,0,1
"Unidentified Aguiar2007.unidsp.4",0,0,0,1,0,0,1
"Unidentified Aguiar2007.unidsp.5",0,1,0,3,0,0,1
"Unidentified Aguiar2007.unidsp.6",0,0,0,5,0,2,0
"Vismia Aguiar2007.unidsp.mult",0,0,0,2,0,1,0
