"","Coereba flaveola","Cyanerpes cyaneus","Cyclarhis gujanensis","Dacnis cayana","Elaenia flavogaster","Euphonia violacea","Icterus cayanensis","Myiozetetes similis","Nemosia pileata","Pitangus sulphuratus","Tangara cayana","Tangara seledon","Thraupis palmarum","Thraupis sayaca","Turdus leucomelas","Turdus rufiventris","Vireo olivaceus"
"Allophylus edulis",0,0,0,1,1,0,0,2,0,2,0,0,0,0,4,0,0
"Byrsonima sericea",0,0,0,0,0,0,2,4,0,0,1,0,4,1,5,0,1
"Cecropia Andrade2011.unidsp.729",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Chiococca Andrade2011.unidsp.600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Clidemia hirta",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Cupania emarginata",0,0,2,0,1,0,0,1,0,0,1,0,12,4,1,0,0
"Curatella americana",0,3,0,2,1,0,0,3,0,0,0,0,3,2,0,0,0
"Eugenia cyclophylla",0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,0,0
"Guapira opposita",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Maytenus distichophylla",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia albicans",0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0
"Miconia ciliata",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Miconia minutiflora",1,0,0,8,3,0,0,18,6,1,5,0,56,6,6,2,1
"Myrcia Andrade2011.unidsp.504",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Myrcia guianensis",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"Myrsine gardneriana",0,0,1,0,2,0,0,0,0,0,4,0,11,1,1,0,0
"Paullinia micrantha",0,0,0,0,0,0,0,0,0,0,4,0,1,7,0,0,0
"Pera glabrata",0,17,2,15,0,0,0,8,0,0,3,1,1,0,0,0,2
"Phoradendron Andrade2011.unidsp.722",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Sapium glandulosum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schefflera morototoni",0,0,0,0,3,0,0,0,0,0,0,0,60,0,9,1,0
"Tapirira guianensis",0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
