"","Anoura caudifer","Anoura cultrata","Anoura peruana","Artibeus glaucus","Artibeus planirostris","Carollia brevicauda","Carollia perspicillata","Chiroderma salvini","Enchisthenes hartii","Glossophaga soricina","Lonchophylla handleyi","Mesophylla macconnelli","Phyllostomus hastatus","Platyrrhinus helleri","Platyrrhinus infuscus","Platyrrhinus masu","Sturnira erythromos","Sturnira lilium","Sturnira magna","Uroderma bilobatum","Vampyressa melissa"
"Abutilon Arias-Arone2016.unidsp.1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthurium Arias-Arone2016.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Anthurium Arias-Arone2016.unidsp.2",0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthurium Arias-Arone2016.unidsp.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asplundia Arias-Arone2016.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Asteliaceae Arias-Arone2016.unidsp.1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia Arias-Arone2016.unidsp.1",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Cecropia Arias-Arone2016.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cecropia Arias-Arone2016.unidsp.3",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia Arias-Arone2016.unidsp.4",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia Arias-Arone2016.unidsp.5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia Arias-Arone2016.unidsp.6",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Cecropia Arias-Arone2016.unidsp.7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia membranacea",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
"Ceiba pentandra",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Condaminea corymbosa",0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cyclanthaceae Arias-Arone2016.unidsp.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epiphyllum phyllanthus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbiaceae Arias-Arone2016.unidsp.1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbiaceae Arias-Arone2016.unidsp.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus Arias-Arone2016.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"Ficus Arias-Arone2016.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"Ficus Arias-Arone2016.unidsp.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"Ficus Arias-Arone2016.unidsp.4",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3
"Ficus maxima",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Flacourtiaceae Arias-Arone2016.unidsp.1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inga Arias-Arone2016.unidsp.1",1,1,3,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lecointea Arias-Arone2016.unidsp.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lycianthes Arias-Arone2016.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Marcgraviaceae Arias-Arone2016.unidsp.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marcgraviaceae Arias-Arone2016.unidsp.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melastomataceae Arias-Arone2016.unidsp.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melastomataceae Arias-Arone2016.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"Miconia Arias-Arone2016.unidsp.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicandra physalodes",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
