"","Brotogeris chiriri","Camptostoma obsoletum","Coereba flaveola","Conirostrum speciosum","Cyclarhis gujanensis","Dacnis cayana","Elaenia Athie2009.unidsp.711","Elaenia flavogaster","Elaenia spectabilis","Empidonomus varius","Euphonia chlorotica","Euphonia cyanocephala","Euphonia violacea","Forpus xanthopterygius","Habia rubica","Icterus cayanensis","Myiarchus ferox","Myiodynastes maculatus","Myiozetetes similis","Nemosia pileata","Patagioenas picazuro","Pionus maximiliani","Pitangus sulphuratus","Ramphocelus carbo","Satrapa icterophrys","Setophaga pitiayumi","Tachyphonus coronatus","Tangara cayana","Thlypopsis sordida","Thraupis palmarum","Thraupis sayaca","Tolmomyias sulphurescens","Turdus amaurochalinus","Turdus leucomelas","Turdus rufiventris","Tyrannus melancholicus","Vireo olivaceus","Zonotrichia capensis"
"Acnistus arborescens",0,0,7,1,0,1,11,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,20,0,0,18,19,1,0,11,0,1,0,0,1,0,0
"Alchornea sidifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Casearia sylvestris",0,0,0,0,12,5,14,9,0,0,0,0,0,22,1,0,14,1,4,41,0,0,0,32,0,0,8,17,2,0,17,6,0,1,0,0,1,0
"Cecropia Athie2009.unidsp.mult",0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,5,0,0,0,0,0,0,0
"Eugenia uniflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus citrifolia",0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Frangula purshiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,37,0,0,104,0,0,0,0,0,0,0
"Guazuma ulmifolia",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maclura tinctoria",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Melia azedarach",0,0,0,1,0,0,4,2,0,1,3,1,0,1,0,2,0,0,12,0,1,1,8,6,1,1,0,51,1,0,253,0,31,29,8,0,0,0
"Piper Athie2009.unidsp.831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Plinia cauliflora",0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,1,7,0,0,16,2,0,0,38,0,0,2,0,0,0,1
"Psidium guajava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Schinus terebinthifolia",0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0
"Solanum granuloso-leprosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0
"Syagrus oleracea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syagrus romanzoffiana",0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium cumini",0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,14,0,3,1,0,0,0,0
"Trema micrantha",0,0,0,0,0,166,0,0,0,0,0,0,0,60,0,0,0,0,20,0,0,0,0,0,0,0,0,39,0,0,1,2,0,0,0,0,0,0
"Trichilia claussenii",0,0,1,0,0,75,1,5,0,5,0,0,0,0,0,0,12,20,27,0,0,0,2,28,0,0,3,3,2,0,7,0,1,12,0,1,19,0
"Urera baccifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
