"","Acridotheres tristis","Cinnyris asiaticus","Corvus macrorhynchos","Corvus splendens","Dicaeum erythrorhynchos","Leptocoma zeylonica","Oriolus kundoo","Pastor roseus","Psittacula krameri","Pycnonotus cafer","Pycnonotus luteolus","Streptopelia chinensis","Streptopelia decaocto","Sturnia malabarica","Sturnia pagodarum","Treron bicinctus","Turdoides striata"
"Allophylus serratus",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Asparagus racemosus",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Azadirachta indica",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Azima tetracantha",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Benkara malabarica",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Breynia vitis-idaea",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Cansjera rheedii",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Canthium horridum",1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Capparis rotundifolia",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Capparis zeylanica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Carissa spinarum",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Cassytha filiformis",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Cissus quadrangularis",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"Cissus vitiginea",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
"Coccinia grandis",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
"Cordia dichotoma",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"Crateva adansonii",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Dendrophthoe falcata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Diospyros vera",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Drypetes sepiaria",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Ehretia acuminata",1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"Ehretia microphylla",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"Ficus benghalensis",1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1
"Ficus microcarpa",1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
"Ficus religiosa",1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
"Ficus virens",1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0
"Flacourtia indica",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"Flueggea leucopyrus",1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
"Glycosmis pentaphylla",1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"Heynea trifolia",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"Hugonia serrata",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Ixora pavetta",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Jasminum angustifolium",1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Jasminum auriculatum",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Lannea coromandelica",1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Lepisanthes tetraphylla",0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
"Manilkara hexandra",1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0
"Memecylon umbellatum",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Mimusops elengi",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Ochna obtusata",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Olax scandens",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"Opuntia dillenii",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Pachygone ovata",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Pavetta breviflora",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Pavetta indica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Phoenix pusilla",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Phyllanthus reticulatus",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Plecospermum spinosum",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"Pleurostylia opposita",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Premna serratifolia",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Psydrax dicoccos",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"Salacia chinensis",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Salvadora persica",1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
"Scutia myrtina",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Solanum trilobatum",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Syzygium cumini",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"Tinospora sinensis",1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0
"Toddalia asiatica",1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
"Trichosanthes cucumerina",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Trichosanthes tricuspidata",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Viscum capitellatum",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Viscum cruciatum",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Ziziphus jujuba",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ziziphus oenopolia",1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
