"","Catharus fuscescens","Catharus minimus","Catharus ustulatus","Dumetella carolinensis","Empidonax traillii","Empidonax virescens","Geothlypis formosa","Helmitheros vermivorum","Hylocichla mustelina","Icterus galbula","Myiarchus crinitus","Piranga olivacea","Piranga rubra","Seiurus aurocapilla","Setophaga castanea","Setophaga fusca","Setophaga pensylvanica","Setophaga pinus","Tyrannus tyrannus","Vireo olivaceus"
"Alchornea costaricensis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthurium Blake1992.unidsp.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ardisia auriculata",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Ardisia nigropunctata",0,0,7,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Bertiera guianensis",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Besleria columneoides",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Cecropia insignis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cecropia obtusifolia",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Cestrum racemosum",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cissampelos Blake1992.unidsp.713",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cissus fuliginea",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clibadium asperum",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clidemia crenulata",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Clidemia densiflora",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"Clidemia dentata",0,6,6,2,0,0,3,1,2,0,0,0,0,5,0,0,1,0,0,0
"Clidemia discolor",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clidemia epiphytica",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clusia Blake1992.unidsp.110",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clusia palmana",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Conostegia Blake1992.unidsp.514",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conostegia bracteata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conostegia subcrustulata",0,11,40,8,6,5,4,1,12,0,6,1,0,9,1,0,5,3,1,1
"Dendropanax arboreus",0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dieffenbachia Blake1992.unidsp.353",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Dilleniaceae Blake1992.unidsp.417",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Doliocarpus dentatus",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia pilifera",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ericaceae Blake1992.unidsp.117",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus Blake1992.unidsp.734",0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
"Hamelia patens",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hampea appendiculata",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Heliconia wagneriana",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Henriettea tuberculosa",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"Leandra Blake1992.unidsp.707",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Lycianthes Blake1992.unidsp.084",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Marcgravia caudata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melastomataceae Blake1992.unidsp.073",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
