"","Arremon flavirostris","Catharus ustulatus","Chlorospingus flavopectus","Cyanocorax chrysops","Elaenia albiceps","Elaenia parvirostris","Euphonia chlorotica","Euphonia cyanocephala","Pipraeidea melanonota","Piranga flava","Setophaga pitiayumi","Syndactyla rufosuperciliata","Thraupis sayaca","Turdus nigriceps","Turdus rufiventris","Veniliornis frontalis","Vireo olivaceus"
"Aechmea distichantha",0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,2,0
"Allophylus edulis",0,23,2,0,1,0,0,0,0,0,0,0,11,14,67,0,1
"Cestrum strigillatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Chamissoa altissima",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Cinnamomum porphyrium",0,6,0,0,1,0,0,0,0,0,0,0,4,11,16,0,0
"Cissus striata",0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0
"Cupania vernalis",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
"Lepismium lumbricoides",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Morus alba",0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
"Myrcianthes pungens",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"Myrsine coriacea",0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0
"Passiflora urnifolia",0,0,0,0,0,0,0,2,0,0,0,0,2,3,1,0,0
"Phoradendron falcifrons",0,1,9,2,0,2,21,0,1,0,7,0,35,3,9,0,1
"Phoradendron tucumanense",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"Piper tucumanum",0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0
"Psychotria carthagenensis",0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
"Rhipsalis floccosa",1,2,17,1,0,0,0,0,0,1,2,0,15,0,2,0,0
"Rhipsalis lorentziana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Solanum pseudocapsicum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum riparium",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Vassobia breviflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Xylosma pubescens",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
