"","Chlorospingus flavopectus","Euphonia cyanocephala","Thraupis sayaca","Turdus rufiventris"
"Aechmea distichantha",0,1,2,1
"Allophylus edulis",1,0,0,0
"Blepharocalyx salicifolius",2,1,2,1
"Celtis iguanaea",3,0,2,2
"Cestrum lorentzianum",0,0,0,1
"Cestrum strigillatum",0,0,0,1
"Chamissoa altissima",1,0,2,0
"Cissus striata",0,0,0,1
"Cupania vernalis",0,0,2,2
"Duranta serratifolia",0,0,0,1
"Eugenia uniflora",1,1,2,2
"Myrcianthes pungens",0,0,0,1
"Myrsine laetevirens",1,0,4,1
"Ocotea porphyria",0,0,2,3
"Phoradendron falcifrons",6,6,6,4
"Piper tucumanum",2,0,5,3
"Psychotria carthagenensis",4,1,6,6
"Rhipsalis floccosa",3,1,3,0
"Solanum riparium",1,0,5,3
"Urera baccifera",1,0,1,1
"Urera caracasana",1,0,2,0
"Zanthoxylum coco",0,0,1,1
