"","Alectroenas madagascariensis","Cheirogaleus major","Cheirogaleus medius","Coracopsis Bollen2000.unidsp.mult","Eliurus myoxinus","Eulemur collaris","Hypsipetes madagascariensis","Lemuriformes Bollen2000.unidsp.1","Lemuriformes Bollen2000.unidsp.2","Microcebus rufus","Pteropus rufus","Rattus rattus","Streptopelia picturata","Treron australis"
"Apodytes dimidiata",1,1,1,1,0,1,1,1,0,1,0,0,0,0
"Brexia Bollen2000.unidsp.198",0,1,0,0,1,1,0,0,1,1,0,0,0,0
"Brochoneura acuminata",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Burasaia madagascariensis",0,1,0,0,1,1,0,1,0,0,0,1,0,0
"Canarium madagascariense",0,0,0,0,1,1,0,0,0,0,0,1,0,0
"Cinnamosma madagascariensis",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Diospyros Bollen2000.unidsp.498",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dypsis prestoniana",1,1,1,1,0,1,1,1,0,0,1,0,1,0
"Elaeocarpus alnifolius",0,0,0,0,1,1,0,0,0,0,0,1,0,0
"Eugenia Bollen2000.unidsp.778",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Eugenia cloiselii",0,0,1,0,0,1,0,1,0,0,0,0,0,0
"Fenerivia madagascariensis",1,1,0,0,0,1,1,0,0,1,0,0,0,0
"Garcinia Bollen2000.unidsp.666",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Hyperacanthus mandenensis",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Leptolaena multiflora",0,1,1,0,0,1,0,0,1,1,0,0,1,0
"Ludia antanosarum",0,1,0,1,0,1,0,0,0,1,1,0,0,0
"Macaranga perrieri",0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Olea Bollen2000.unidsp.148",0,1,0,1,1,1,0,0,1,1,0,1,0,0
"Polyscias Bollen2000.unidsp.248",1,0,0,1,0,0,1,0,0,0,0,0,1,1
"Poupartia chapelieri",0,1,1,1,1,1,0,1,0,1,0,0,0,0
"Pyrostria variistipula",0,0,1,1,0,1,0,1,0,1,0,0,0,0
"Sarcolaena multiflora",0,1,1,1,0,1,0,0,1,1,0,0,1,0
"Schizolaena elongata",0,1,0,0,0,1,0,0,0,0,0,0,1,0
"Scolopia orientalis",0,0,1,0,1,1,0,0,1,1,0,0,1,0
"Syzygium Bollen2000.unidsp.1",0,1,0,0,1,1,0,0,1,1,0,1,0,0
"Syzygium Bollen2000.unidsp.2",1,1,0,1,0,1,1,1,0,1,1,0,0,0
"Terminalia fatraea",1,1,0,1,1,1,0,0,0,1,1,0,0,0
"Tina thouarsiana",0,0,0,1,1,1,0,1,0,1,0,1,0,0
"Trema orientalis",1,0,0,0,0,0,1,0,0,0,0,0,0,1
"Uapaca ferruginea",0,1,1,0,1,1,0,0,1,0,1,1,0,0
"Uapaca littoralis",0,1,0,1,1,1,0,0,1,1,0,0,0,0
"Uapaca thouarsii",0,1,0,0,0,1,0,0,0,1,0,1,0,0
"Vepris elliotii",0,1,0,0,0,1,0,0,1,1,0,0,0,0
"Vepris fitoravina",0,0,1,1,0,1,0,1,1,1,0,0,0,0
