"","Artibeus lituratus","Artibeus planirostris","Carollia perspicillata","Platyrrhinus lineatus","Pygoderma bilabiatum","Sturnira lilium"
"Cecropia Carvalho2008.unidsp.1",2,0,0,0,1,0
"Cecropia pachystachya",1,2,0,0,0,0
"Ficus Carvalho2008.unidsp.mult",1,0,2,0,1,1
"Piper aduncum",0,0,31,0,0,0
"Piper amalago",0,0,12,0,0,0
"Piper Carvalho2008.unidsp.mult",0,0,14,0,0,0
"Piper hispidum",0,0,12,0,0,5
"Solanum atropurpureum",0,0,0,0,0,1
"Solanum Carvalho2008.unidsp.mult",0,0,16,0,0,1
"Solanum granuloso-leprosum",11,2,26,1,0,38
"Unidentified Carvalho2008.unidsp.mult",0,0,3,0,0,2
"Wilbrandia hibiscoides",0,0,7,0,0,0
