"","Artibeus anderseni","Artibeus lituratus","Artibeus obscurus","Artibeus planirostris","Carollia brevicauda","Carollia castanea","Carollia perspicillata","Glossophaga soricina","Lophostoma silvicolum","Mesophylla macconnelli","Platyrrhinus angustirostris","Platyrrhinus dorsalis","Rhinophylla pumilio","Sturnira lilium","Sturnira ludovici","Sturnira tildae","Uroderma bilobatum"
"Cecropia Casallas-Pabon2017.unidsp.1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cecropia engleriana",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cecropia ficifolia",0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"Cecropia insignis",0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"Cecropia peltata",0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Cecropia sararensis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ficus Casallas-Pabon2017.unidsp.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ficus maxima",0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
"Ficus nymphaeifolia",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"Ficus paraensis",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"Philodendron Casallas-Pabon2017.unidsp.1",1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"Piper aduncum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Piper aequale",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Piper arboreum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Piper Casallas-Pabon2017.unidsp.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Piper hispidum",0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
"Piper marginatum",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Piper obliquum",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"Piper peltatum",1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0
"Solanum americanum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Solanum Casallas-Pabon2017.unidsp.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Solanum grandiflorum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum rugosum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Vismia baccifera",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Vismia cayennensis",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Vismia gracilis",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Vismia guianensis",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Vismia japurensis",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Vismia tomentosa",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
