"","Anoura caudifer","Anoura cultrata","Artibeus amplus","Artibeus glaucus","Artibeus jamaicensis","Artibeus lituratus","Carollia brevicauda","Carollia perspicillata","Chiroderma salvini","Enchisthenes hartii","Glossophaga soricina","Lonchophylla robusta","Mesophylla macconnelli","Phyllostomus hastatus","Platyrrhinus albericoi","Platyrrhinus angustirostris","Platyrrhinus umbratus","Sturnira adrianae","Sturnira erythromos","Sturnira lilium","Uroderma bakeri","Vampyressa thyone"
"Anthurium bernardii",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Anthurium nymphaeifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Anthurium subsagittatum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Asplundia vagans",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"Cecropia Castano2009.unidsp.247",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cecropia sararensis",1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1
"Cecropia telealba",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Cestrum Castano2009.unidsp.43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"Clidemia Castano2009.unidsp.734",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ficus Castano2009.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ficus Castano2009.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ficus insipida",0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1
"Ficus maxima",0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1
"Ficus tonduzii",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lycianthes Castano2009.unidsp.512",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Monstera Castano2009.unidsp.505",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper aduncum",0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"Piper Castano2009.unidsp.909",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper Castano2009.unidsp.mult",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Piper diffamatum",0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"Piper longispicum",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Piper marginatum",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper phytolaccifolium",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Psammisia penduliflora",0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"Saurauia tomentosa",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum acerifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Solanum bicolor",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Solanum Castano2009.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Solanum Castano2009.unidsp.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Solanum Castano2009.unidsp.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Solanum dissimile",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum tanysepalum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaeradenia Castano2009.unidsp.748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Vismia baccifera",0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1
"Xanthosoma Castano2009.unidsp.476",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
