"","Artibeus bogotensis","Artibeus jamaicensis","Artibeus lituratus","Artibeus phaeotis","Carollia brevicauda","Carollia perspicillata","Mesophylla macconnelli","Platyrrhinus albericoi","Platyrrhinus dorsalis","Sturnira bogotensis","Sturnira ludovici","Sturnira parvidens","Vampyressa thyone"
"Anthurium Castano2018.unidsp.1",1,0,0,0,1,0,0,0,0,0,0,0,0
"Anthurium glaucospadix",0,0,3,0,6,3,0,0,0,1,1,2,0
"Anthurium stipitatum",0,0,0,0,0,0,0,0,0,0,1,0,0
"Anthurium versicolor",0,0,0,0,1,2,0,0,0,0,0,0,0
"Cavendishia nitida",2,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia angustifolia",0,0,4,0,1,0,0,0,4,0,0,0,0
"Cecropia telealba",2,12,58,1,5,0,0,6,6,0,2,0,0
"Centropogon Castano2018.unidsp.1",0,0,0,0,3,0,0,0,0,0,0,0,0
"Columnea Castano2018.unidsp.1",0,0,0,0,4,0,0,0,0,0,0,0,0
"Cyclanthus bipartitus",1,0,2,2,6,1,1,0,0,1,0,0,0
"Ficus americana",0,0,6,0,1,0,0,1,0,0,1,0,0
"Ficus brevibracteata",0,0,1,0,0,1,1,0,1,0,0,0,0
"Ficus Castano2018.unidsp.1",0,2,5,0,0,0,0,2,0,0,0,0,0
"Ficus Castano2018.unidsp.2",0,0,2,0,0,0,0,0,0,0,0,0,0
"Ficus Castano2018.unidsp.3",0,0,2,0,1,0,0,24,0,0,0,0,1
"Ficus insipida",0,1,4,0,0,0,0,1,0,0,0,0,0
"Ficus tonduzii",0,2,16,0,0,1,0,2,0,0,0,0,0
"Philodendron Castano2018.unidsp.1",1,0,0,0,2,0,0,0,0,0,0,0,0
"Piper aduncum",0,0,2,0,8,1,0,0,0,7,0,11,0
"Piper carpunya",0,0,1,0,4,2,0,0,0,0,0,0,0
"Piper Castano2018.unidsp.1",0,0,0,0,1,0,0,0,0,1,0,0,0
"Piper crassinervium",0,0,2,1,19,1,0,1,0,0,0,0,1
"Piper umbellatum",0,0,0,0,3,0,0,0,0,0,0,0,0
"Psammisia penduliflora",1,0,0,0,0,0,0,0,0,0,0,0,0
"Psidium guajava",0,1,8,0,0,0,0,0,0,0,1,0,0
"Solanum acerifolium",0,0,0,0,1,0,0,0,0,0,0,0,0
"Solanum aphyodendron",8,1,17,8,9,8,1,0,0,6,5,10,0
"Solanum Castano2018.unidsp.1",0,0,1,0,1,2,0,0,0,0,0,7,0
"Solanum Castano2018.unidsp.2",1,0,0,0,0,1,0,0,0,0,1,0,0
"Solanum Castano2018.unidsp.3",0,0,0,0,2,0,0,0,0,0,0,0,0
"Solanum Castano2018.unidsp.4",0,0,0,0,4,1,0,0,0,1,5,2,0
"Solanum Castano2018.unidsp.5",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sphaeradenia garciae",0,0,0,0,0,0,0,0,0,0,0,1,0
"Unidentified Castano2018.unidsp.1",0,0,1,0,0,0,0,0,0,0,0,0,0
"Unidentified Castano2018.unidsp.2",0,0,0,0,1,0,0,0,0,0,0,0,0
"Vismia guianensis",0,0,0,0,7,0,0,0,0,0,0,0,0
"Xanthosoma Castano2018.unidsp.1",0,0,0,0,1,0,0,0,0,0,0,0,0
