"","Aburria jacutinga","Carpornis melanocephala","Myiodynastes maculatus","Penelope obscura","Penelope superciliaris","Pitangus sulphuratus","Procnias nudicollis","Pyroderus scutatus","Ramphastos dicolorus","Ramphastos vitellinus","Selenidera maculirostris","Turdus albicollis","Turdus amaurochalinus","Turdus flavipes","Turdus rufiventris","Tyrannus melancholicus"
"Aiouea saligna",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Alchornea triplinervia",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Cabralea canjerana",0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0
"Calyptranthes concinna",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Campomanesia guaviroba",0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
"Casearia sylvestris",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Cecropia glaziovii",0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
"Chrysophyllum flexuosum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnamodendron dinisii",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Clusia criuva",0,0,20,0,0,7,0,0,0,0,0,1,5,0,7,7
"Cryptocarya moschata",0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
"Cupania oblongifolia",0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,0
"Eugenia Castro2015.unidsp.1",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
"Eugenia Castro2015.unidsp.2",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Eugenia cuprea",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Eugenia umbelliflora",0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0
"Euterpe edulis",7,0,0,2,0,0,12,3,2,49,23,39,0,30,0,0
"Guapira opposita",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Guarea macrophylla",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Hieronyma alchorneoides",0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"Ilex pseudobuxus",0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
"Ilex theezans",0,0,0,0,3,0,2,0,0,0,0,13,7,6,4,0
"Inga edulis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Marlierea obscura",0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Marlierea tomentosa",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Maytenus robusta",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Miconia cubatanensis",0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"Mollinedia schottiana",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Mollinedia uleana",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Myrcia bicarinata",0,1,0,0,2,0,0,0,0,0,1,3,0,1,0,0
"Myrcia ilheosensis",0,0,0,0,2,0,1,0,0,0,0,5,0,0,0,0
"Myrcia pubipetala",0,1,0,1,0,0,0,0,0,2,1,2,0,0,0,0
"Myrcia spectabilis",0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
"Myrsine Castro2015.unidsp.367",0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
"Myrsine umbellata",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
"Nectandra membranacea",0,0,0,0,0,0,1,2,1,7,0,10,0,1,0,0
"Neomitranthes glomerata",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ocotea pulchella",0,0,4,0,0,4,0,0,0,1,0,24,15,16,10,19
"Psidium cattleianum",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"Psychotria Castro2015.unidsp.239",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Psychotria nuda",0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
"Quiina glaziovii",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Rollinia sericea",0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
"Rudgea jasminoides",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Schefflera angustissima",0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
"Symplocos uniflora",0,0,0,1,0,0,1,0,1,2,0,2,0,1,0,0
"Virola bicuhyba",0,0,0,0,0,0,5,0,2,47,7,3,0,6,0,0
"Vitex Castro2015.unidsp.370",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Xylopia langsdorfiana",0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
