"","Artibeus jamaicensis","Artibeus lituratus","Artibeus phaeotis","Artibeus watsoni","Carollia perspicillata","Carollia sowelli","Glossophaga soricina","Hylonycteris underwoodi","Platyrrhinus helleri","Sturnira lilium","Uroderma bilobatum","Vampyressa thyone"
"Aechmea bracteata",0,0,0,0,0,3,0,0,0,1,0,0
"Anthurium Castro-Luna2012.unidsp.968",0,0,0,0,0,1,0,0,0,0,0,0
"Cecropia obtusifolia",1,12,2,0,3,6,4,0,3,9,0,0
"Cecropia peltata",0,7,6,1,1,9,7,0,3,13,2,0
"Conostegia xalapensis",0,0,0,0,0,0,0,1,0,0,0,0
"Coussapoa oligocephala",0,0,0,0,0,0,4,1,0,0,0,0
"Ficus Castro-Luna2012.unidsp.11",0,0,0,0,0,0,5,0,0,0,0,1
"Ficus Castro-Luna2012.unidsp.12",1,0,0,0,0,1,0,0,1,0,0,3
"Ficus Castro-Luna2012.unidsp.22",2,1,0,0,0,0,0,0,0,0,0,0
"Ficus Castro-Luna2012.unidsp.44",2,0,0,0,0,0,0,0,0,0,0,0
"Ficus Castro-Luna2012.unidsp.55",0,1,0,0,0,0,0,0,0,0,0,1
"Ficus Castro-Luna2012.unidsp.66",0,0,0,0,0,0,0,0,0,0,0,1
"Ficus insipida",0,2,0,0,0,0,1,0,0,0,0,0
"Ficus lapathifolia",1,1,0,0,0,0,0,0,0,0,0,0
"Juanulloa mexicana",0,0,1,0,0,3,0,0,0,0,0,0
"Manilkara zapota",0,1,0,0,0,0,0,0,0,0,0,0
"Muntingia calabura",0,0,0,0,1,4,17,0,0,0,0,0
"Physalis angulata",0,0,0,0,0,0,0,0,0,2,0,0
"Piper aduncum",0,0,4,1,20,208,43,0,1,33,0,0
"Piper aequale",0,0,1,0,1,7,1,0,0,0,0,0
"Piper amalago",0,0,2,0,3,24,0,0,0,13,0,1
"Piper auritum",0,4,4,1,28,172,6,0,1,11,1,2
"Piper Castro-Luna2012.unidsp.1",0,0,0,0,1,13,0,0,0,0,0,0
"Piper Castro-Luna2012.unidsp.2",0,0,0,0,0,4,0,0,0,0,0,0
"Piper Castro-Luna2012.unidsp.3",0,0,1,0,5,36,2,0,0,1,0,0
"Piper Castro-Luna2012.unidsp.4",0,0,0,0,0,7,0,0,0,0,0,0
"Piper Castro-Luna2012.unidsp.5",0,0,0,0,0,3,0,0,0,0,0,0
"Piper jacquemontianum",0,0,0,0,1,4,0,0,0,0,0,0
"Piper tuberculatum",0,0,0,0,0,1,0,0,0,0,0,0
"Piper yzabalanum",0,0,0,0,3,61,8,0,0,1,0,0
"Piperaceae Castro-Luna2012.unidsp.1",0,0,0,0,0,1,0,0,0,0,0,0
"Poulsenia armata",3,0,0,0,0,0,0,0,0,0,0,0
"Senna quinquangulata",0,0,0,0,15,12,0,0,0,0,0,0
"Solanum americanum",0,0,3,0,1,3,0,0,0,12,0,0
"Solanum Castro-Luna2012.unidsp.1",0,0,1,0,0,0,0,0,0,0,0,0
"Solanum Castro-Luna2012.unidsp.2",0,0,1,0,0,0,0,0,0,3,0,0
"Solanum Castro-Luna2012.unidsp.3",0,0,0,0,0,0,0,0,0,2,0,0
"Solanum torvum",0,0,0,0,0,0,0,0,0,1,0,0
"Spondias radlkoferi",1,0,1,0,0,0,0,0,0,0,0,0
