"","Andropadus importunus","Bycanistes bucinator","Colius striatus","Cossypha dichroa","Crithagra mozambica","Cyanomitra olivacea","Hedydipna collaris","Lamprotornis nitens","Lybius torquatus","Notopholia corrusca","Oriolus larvatus","Phoeniculus purpureus","Phyllastrephus flavostriatus","Ploceus bicolor","Ploceus capensis","Ploceus ocularis","Ploceus subaureus","Pogoniulus bilineatus","Pogoniulus pusillus","Pycnonotus barbatus","Streptopelia capicola","Streptopelia semitorquata","Tauraco corythaix","Tockus alboterminatus","Turdus olivaceus","Turtur tympanistria","Zosterops capensis"
"Antidesma venosum",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"Bridelia micrantha",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
"Croton sylvaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"Ficus sur",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"Ficus thonningii",0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1
"Phoenix reclinata",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Protorhus longifolia",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Searsia chirindensis",1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1
"Searsia rehmanniana",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Syzygium cordatum",1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"Tarenna pavettoides",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
