"","Andropadus importunus","Cinnyricinclus leucogaster","Colius striatus","Crithagra gularis","Crithagra sulphurata","Cyanomitra olivacea","Hedydipna collaris","Lybius torquatus","Notopholia corrusca","Onychognathus morio","Oriolus larvatus","Phoeniculus purpureus","Phyllastrephus flavostriatus","Ploceus bicolor","Ploceus capensis","Ploceus ocularis","Pogoniulus bilineatus","Pogoniulus pusillus","Pogonocichla stellata","Pycnonotus barbatus","Streptopelia capicola","Streptopelia semitorquata","Tauraco corythaix","Turdus olivaceus","Zosterops capensis"
"Allophylus africanus",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"Celtis africana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Commiphora woodii",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Croton sylvaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Maesa lanceolata",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
"Protorhus longifolia",1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1
"Searsia chirindensis",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Syzygium cordatum",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Trema orientalis",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Volkameria glabra",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"Zanthoxylum davyi",1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1
