"","Amblyospiza albifrons","Andropadus importunus","Bycanistes bucinator","Colius striatus","Columba larvata","Cossypha caffra","Cossypha natalensis","Cyanomitra olivacea","Hedydipna collaris","Lamprotornis nitens","Lybius torquatus","Notopholia corrusca","Oriolus larvatus","Ploceus bicolor","Ploceus capensis","Pogoniulus bilineatus","Pogoniulus pusillus","Pycnonotus barbatus","Streptopelia capicola","Streptopelia semitorquata","Tauraco corythaix","Tockus alboterminatus","Turdus olivaceus","Zosterops capensis"
"Celtis africana",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
"Commiphora woodii",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0
"Croton sylvaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ficus sur",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Harpephyllum caffrum",0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1
"Protorhus longifolia",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"Rauvolfia caffra",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"Searsia chirindensis",0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1
"Trichilia dregeana",0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"Volkameria glabra",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Zanthoxylum davyi",1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1
