"","Amblyospiza albifrons","Andropadus importunus","Bycanistes bucinator","Colius striatus","Crithagra sulphurata","Lamprotornis nitens","Lybius torquatus","Notopholia corrusca","Phylloscopus trochilus","Ploceus capensis","Pogoniulus bilineatus","Pycnonotus barbatus","Streptopelia semitorquata","Tauraco corythaix","Tockus alboterminatus","Turdus olivaceus","Turtur tympanistria","Zosterops capensis"
"Bridelia micrantha",0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
"Celtis africana",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Croton sylvaticus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Diospyros natalensis",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
"Harpephyllum caffrum",0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
"Maesa lanceolata",0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
"Protorhus longifolia",0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1
"Psychotria capensis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Shirakiopsis elliptica",0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1
"Syzygium cordatum",0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Trema orientalis",0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
