"","Brycon amazonicus","Brycon falcatus","Brycon melanopterus","Myloplus asterias","Myloplus Correa2016.unidsp.568","Myloplus rubripinnis","Myloplus torquatus"
"Alchornea discolor",0,1,8,3,1,0,0
"Amaioua guianensis",0,3,5,3,0,1,1
"Annona hypoglauca",0,0,2,2,0,2,0
"Annonaceae Correa2016.unidsp.1",1,2,1,0,0,0,0
"Araceae Correa2016.unidsp.499",0,1,1,0,0,0,0
"Bactris riparia",6,5,5,0,0,0,0
"Bocageopsis Correa2016.unidsp.402",0,5,4,0,0,0,0
"Bothriospora corymbosa",2,24,4,2,1,27,0
"Byrsonima Correa2016.unidsp.227",0,2,1,0,0,0,0
"Byrsonima japurensis",0,5,10,0,0,0,0
"Cecropia distachya",0,1,0,0,2,10,4
"Celastraceae Correa2016.unidsp.721",1,0,1,0,0,0,0
"Clusia Correa2016.unidsp.914",0,1,3,1,0,0,1
"Cucurbitaceae Correa2016.unidsp.1",1,4,2,1,0,2,1
"Eugenia Correa2016.unidsp.137",1,0,2,0,0,1,0
"Ficus americana",2,7,2,0,1,2,0
"Ficus Correa2016.unidsp.1",1,3,4,1,0,0,0
"Guatteria Correa2016.unidsp.172",0,4,0,1,0,0,0
"Inga Correa2016.unidsp.12",0,0,2,0,0,0,0
"Mauritiella aculeata",2,0,0,0,0,0,0
"Miconia truncata",1,5,4,0,0,0,0
"Nectandra oppositifolia",0,8,1,0,0,0,0
"Phyllanthus Correa2016.unidsp.210",0,2,4,0,0,0,0
"Psychotria Correa2016.unidsp.1",0,2,0,6,3,22,0
"Psychotria lupulina",1,4,0,2,1,4,0
"Quiina amazonica",2,11,3,0,1,0,0
"Rubiaceae Correa2016.unidsp.2",0,1,3,0,1,3,0
"Rubiaceae Correa2016.unidsp.4",0,1,1,0,0,0,0
"Simaba orinocensis",0,3,0,0,0,0,0
"Souroubea Correa2016.unidsp.955",0,1,2,0,0,1,0
"Trichilia rubra",1,3,0,0,0,0,0
"Unknown Correa2016.unidsp.10",0,0,0,3,0,0,0
"Unknown Correa2016.unidsp.2",2,0,0,0,0,0,0
"Unknown Correa2016.unidsp.6",0,0,4,0,0,0,0
"Unonopsis Correa2016.unidsp.636",0,3,1,0,0,0,0
"Virola Correa2016.unidsp.34",1,1,2,0,0,0,0
