"","Brycon amazonicus","Brycon falcatus","Brycon melanopterus","Myloplus torquatus","Mylossoma duriventris"
"Alchornea fluviatilis",0,1,3,3,0
"Amaioua guianensis",1,0,4,0,0
"Annona hypoglauca",0,0,0,17,0
"Anthurium Correa2016.unidsp.1",0,1,3,1,0
"Apeiba membranacea",0,0,1,3,0
"Araceae Correa2016.unidsp.1",2,1,5,0,0
"Calophyllum Correa2016.unidsp.1",3,0,0,0,0
"Cayaponia cruegeri",2,0,0,11,0
"Cecropia Correa2016.unidsp.2",0,0,0,3,0
"Cecropia Correa2016.unidsp.3",1,0,0,7,0
"Cecropia latiloba",4,0,19,50,4
"Chrysophyllum Correa2016.unidsp.1",0,0,0,2,0
"Clusia Correa2016.unidsp.1",1,0,3,1,0
"Clusia Correa2016.unidsp.2",0,0,11,0,1
"Conceveiba Correa2016.unidsp.1",0,0,2,0,0
"Cucurbitaceae Correa2016.unidsp.1",0,0,0,5,0
"Euterpe precatoria",0,0,3,0,0
"Ficus Correa2016.unidsp.1",0,1,1,2,0
"Ficus Correa2016.unidsp.2",1,0,2,4,4
"Ficus Correa2016.unidsp.3",1,0,2,3,0
"Ficus pertusa",0,0,1,4,0
"Genipa americana",0,0,0,21,0
"Guatteria Correa2016.unidsp.1",2,0,1,0,0
"Laetia Correa2016.unidsp.1",1,0,6,3,0
"Lauraceae Correa2016.unidsp.1",0,0,2,0,0
"Loranthaceae Correa2016.unidsp.1",4,0,4,0,0
"Oxandra leucodermis",0,1,3,0,0
"Philodendron Correa2016.unidsp.1",1,0,4,0,0
"Salacia Correa2016.unidsp.1",0,0,2,0,0
"Souroubea Correa2016.unidsp.1",0,0,2,0,0
"Stachyarrhena penduliflora",3,0,1,0,0
"Strychnos panurensis",1,1,5,0,0
"Tapura Correa2016.unidsp.1",3,0,5,1,0
"Tetracera Correa2016.unidsp.794",0,0,1,1,0
"Unknown Correa2016.unidsp.14",0,0,0,2,0
"Unknown Correa2016.unidsp.5",1,0,1,0,0
"Virola duckei",0,0,2,0,0
"Zygia longifolia",1,0,2,0,0
