"","Brycon hilarii","Myloplus tiete","Mylossoma duriventris","Piaractus mesopotamicus"
"Bactris glaucescens",3,0,0,55
"Banara arguta",12,0,0,1
"Byrsonima laxiflora",5,1,0,26
"Caperonia castaneifolia",0,4,0,0
"Cayaponia podantha",2,3,0,62
"Cecropia pachystachya",0,1,0,2
"Cissus spinosa",0,0,0,17
"Coccoloba obtusifolia",0,0,0,2
"Coccoloba ochreolata",3,0,0,18
"Combretum laxum",0,0,0,2
"Crateva tapia",0,0,0,16
"Doliocarpus dentatus",0,0,0,3
"Duroia duckei",7,3,0,63
"Eugenia inundata",0,0,0,33
"Fagaceae Correa2016.unidsp.683",0,0,0,2
"Ipomoea asarifolia",1,0,0,29
"Mendoncia puberula",4,0,0,40
"Mimosa pellita",0,8,0,13
"Mouriri guianensis",21,26,0,38
"Myrcia splendens",0,0,0,4
"Ocotea Correa2016.unidsp.140",0,0,0,3
"Panicum Correa2016.unidsp.1",1,1,2,2
"Passiflora Correa2016.unidsp.1",0,4,0,37
"Passiflora edulis",1,4,0,25
"Paullinia pinnata",3,0,0,11
"Peritassa dulcis",0,0,0,17
"Persicaria ferruginea",0,0,1,1
"Pouteria glomerata",1,0,0,25
"Psychotria nuda",1,0,0,2
"Sapium obovatum",1,0,0,50
"Solanum bonariense",2,0,0,0
"Spondias mombin",0,0,0,7
"Strychnos brasiliensis",0,0,0,2
"Unknown Correa2016.unidsp.1",0,0,0,3
"Unknown Correa2016.unidsp.10",0,0,0,3
"Unknown Correa2016.unidsp.11",0,0,0,2
"Unknown Correa2016.unidsp.4",0,0,0,2
"Unknown Correa2016.unidsp.6",0,2,0,0
