"","Cephalophus natalensis","Chlorocebus pygerythrus","Civettictis civetta","Genetta tigrina","Hystrix africaeaustralis","Kobus ellipsiprymnus","Ourebia ourebi","Papio ursinus","Phacochoerus africanus","Tragelaphus angasii","Tragelaphus scriptus"
"Bridelia mollis",0,1,1,0,0,0,0,1,0,0,0
"Catunaregam Correia2016.unidsp.976",0,0,0,0,0,0,1,0,0,0,0
"Centaurea praecox",1,0,0,0,0,1,0,1,0,0,0
"Dichrostachys cinerea",0,0,0,0,0,0,1,0,0,0,0
"Diospyros mespiliformis",0,1,0,0,0,0,0,0,0,0,0
"Diospyros senensis",0,0,1,0,0,0,0,0,0,0,0
"Diospyros squarrosa",0,0,0,0,0,0,0,1,0,0,0
"Eriochloa meyeriana",0,0,0,0,0,0,0,1,1,0,0
"Grewia caffra",0,0,1,0,0,0,0,0,0,0,0
"Grewia Correia2016.unidsp.41",0,0,1,0,0,0,0,0,0,0,0
"Grewia inaequilatera",0,1,0,0,0,0,0,1,0,0,0
"Grewia microcarpa",0,0,1,0,0,0,0,0,0,0,0
"Mimusops obtusifolia",0,0,0,0,0,0,0,1,0,0,0
"Panicum coloratum",0,0,1,0,0,0,0,0,0,0,0
"Salicaceae Correia2016.unidsp.mult",0,0,0,0,1,0,0,0,0,0,0
"Solanum incanum",0,0,0,0,0,0,0,0,0,1,0
"Sporobolus panicoides",0,0,0,0,0,1,0,0,0,0,0
"Tabernaemontana elegans",0,0,0,0,0,0,0,1,0,0,0
"Tamarindus indica",0,1,1,0,0,0,0,1,0,0,0
"Unknown Correia2016.unidsp.10",0,0,0,0,0,1,0,0,0,0,1
"Unknown Correia2016.unidsp.3",0,0,0,1,0,0,0,0,0,0,0
"Unknown Correia2016.unidsp.7",0,0,0,0,0,1,0,1,0,0,0
"Xanthocercis zambesiaca",0,0,0,0,0,0,0,1,0,0,0
"Ziziphus jujuba",0,1,0,0,0,0,0,1,0,0,0
"Ziziphus mucronata",0,1,1,0,0,0,0,1,1,0,0
