"","Aepyceros melampus","Cephalophus natalensis","Chlorocebus pygerythrus","Civettictis civetta","Genetta tigrina","Hippotragus niger","Hystrix africaeaustralis","Kobus ellipsiprymnus","Mellivora capensis","Ourebia ourebi","Papio ursinus","Phacochoerus africanus","Redunca arundinum","Taurotragus oryx","Tragelaphus angasii","Tragelaphus scriptus","Tragelaphus strepsiceros"
"Acacia nilotica",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Amaranthus dubius",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bobgunnia madagascariensis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bridelia mollis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cassia abbreviata",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"Catunaregam Correia2016.unidsp.932",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Centaurea praecox",0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0
"Cucumis africanus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Cyperus Correia2016.unidsp.328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dichrostachys cinerea",1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1
"Diospyros mespiliformis",0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"Diospyros senensis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grewia caffra",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grewia Correia2016.unidsp.900",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grewia inaequilatera",0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
"Grewia microcarpa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indigofera Correia2016.unidsp.672",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Opuntia Correia2016.unidsp.905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Pistia stratiotes",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Salicaceae Correia2016.unidsp.mult",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Solanum Correia2016.unidsp.494",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Solanum incanum",1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"Sporobolus panicoides",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tamarindus indica",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Unknown Correia2016.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Unknown Correia2016.unidsp.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown Correia2016.unidsp.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Unknown Correia2016.unidsp.5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Unknown Correia2016.unidsp.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Unknown Correia2016.unidsp.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown Correia2016.unidsp.9",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Xanthocercis zambesiaca",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ziziphus mucronata",0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
