"","Cyanistes caeruleus","Erithacus rubecula","Ficedula hypoleuca","Sylvia atricapilla","Sylvia borin","Sylvia communis","Sylvia melanocephala","Turdus merula"
"Arbutus unedo",0,0,0,1,0,0,0,0
"Daphne gnidium",0,0,0,0,1,0,1,0
"Ficus carica",0,1,0,1,1,0,0,1
"Olea europaea",0,1,0,0,0,0,0,0
"Phytolacca americana",0,0,1,0,0,0,0,0
"Pistacia lentiscus",0,1,1,1,1,0,1,0
"Rhamnus alaternus",0,1,1,1,1,1,1,0
"Rubia peregrina",0,0,0,0,0,0,1,0
"Rubus ulmifolius",1,1,1,1,1,1,1,1
"Smilax aspera",0,0,1,1,1,0,0,0
"Solanum americanum",0,0,1,1,0,0,0,0
"Vitis vinifera",0,0,0,1,1,0,0,1
