"","Acridotheres tristis","Corvus culminatus","Eudynamys scolopaceus","Megalaima haemacephala","Psittacula krameri","Pycnonotus cafer","Pycnonotus jocosus","Pycnonotus luteolus"
"Alangium salviifolium",0,0,0,0,5,0,0,0
"Azadirachta indica",8,18,2,0,0,10,64,30
"Cordia dichotoma",0,0,6,0,0,45,279,222
"Diospyros vera",0,0,2,0,1,7,22,12
"Ehretia laevis",0,0,7,0,0,0,0,6
"Eugenia roxburghii",0,0,27,0,2,0,17,15
"Ficus amplissima",9,10,21,46,0,53,128,131
"Ficus microcarpa",2,0,3,18,0,2,23,7
"Flueggea leucopyrus",24,0,0,0,0,6,62,14
"Heynea trifolia",2,0,4,0,0,24,88,49
"Hugonia serrata",31,9,0,0,0,0,4,0
"Lannea coromandelica",567,48,0,0,0,39,189,48
"Lepisanthes tetraphylla",0,0,6,0,0,15,174,84
"Memecylon umbellatum",0,0,0,0,0,0,1,0
"Ochna obtusata",0,0,1,0,0,0,6,1
"Salacia chinensis",0,0,0,0,0,0,34,10
"Salvadora persica",10,38,0,0,0,21,214,42
"Scutia myrtina",0,0,0,0,0,9,71,12
"Syzygium cumini",0,0,0,0,0,0,4,1
