"","Anisognathus somptuosus","Aratinga leucophthalma","Catharus ustulatus","Cephalopterus ornatus","Chiroxiphia boliviana","Chlorochrysa calliparaea","Chlorophonia cyanea","Chlorospingus flavigularis","Chlorospingus flavopectus","Chlorospingus parvirostris","Colaptes rubiginosus","Cyanocorax yncas","Dacnis cayana","Diglossa cyanea","Diglossa glauca","Elaenia pallatangae","Eubucco versicolor","Euphonia mesochrysa","Euphonia xanthogaster","Iridosornis analis","Lepidothrix coeruleocapilla","Lophotriccus pileatus","Mionectes striaticollis","Myadestes ralloides","Patagioenas plumbea","Penelope montagnii","Pharomachrus antisianus","Pharomachrus auriceps","Pipreola intermedia","Piranga rubra","Psarocolius angustifrons","Psarocolius atrovirens","Ramphocelus carbo","Rupicola peruvianus","Saltator maximus","Tangara arthus","Tangara chilensis","Tangara chrysotis","Tangara cyanicollis","Tangara gyrola","Tangara nigroviridis","Tangara punctata","Tangara vassorii","Tangara xanthocephala","Thraupis cyanocephala","Thraupis episcopus","Thraupis palmarum","Trichothraupis melanops","Trogon personatus","Turdus chiguanco","Xenopipo unicolor","Zimmerius bolivianus"
"Banara arguta",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brunellia stenoptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Casearia corymbosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia polystachya",0,0,5,0,0,6,2,2,5,0,1,0,0,0,0,0,3,0,5,2,0,0,0,0,25,0,0,0,0,0,27,1,39,4,1,15,7,3,15,1,3,0,0,0,0,5,1,0,0,0,0,0
"Cecropia strigosa",2,0,0,0,0,12,8,2,3,7,0,0,2,0,0,0,5,1,12,0,0,0,0,0,26,0,3,1,0,0,1,0,16,3,0,17,22,0,12,5,1,2,0,6,0,2,4,0,0,0,0,0
"Croton rusbyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Endlicheria Dehling2017.unidsp.438",0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,7,0,0,0,0,0,16,2,0,0,0,0,0,2,0,0,0,0,0,2,0,1,3,0,0
"Ficus americana",0,0,0,0,0,6,30,2,9,5,0,0,0,0,2,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,1,10,1,0,0,0,0,0,0,0
"Guatteria terminalis",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guettarda crispiflora",0,0,2,0,0,2,0,5,3,0,0,0,1,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,10,2,0,2,4,1,1,0,2,0,0,0,0,0,0,0,0
"Hedyosmum tepuiense",0,0,14,0,0,0,0,5,4,0,0,0,0,1,0,0,3,0,0,0,1,1,0,8,0,0,1,0,1,0,0,0,20,4,0,2,7,2,2,0,1,1,0,0,2,15,6,0,0,0,6,0
