"","Anisognathus somptuosus","Aulacorhynchus derbianus","Chiroxiphia boliviana","Chlorochrysa calliparaea","Chlorophonia cyanea","Chlorospingus flavigularis","Chlorospingus flavopectus","Chlorospingus parvirostris","Colaptes rubiginosus","Cyanocorax yncas","Dacnis cayana","Diglossa caerulescens","Diglossa glauca","Elaenia albiceps","Entomodestes leucotis","Eubucco versicolor","Euphonia mesochrysa","Euphonia xanthogaster","Iridophanes pulcherrimus","Iridosornis analis","Mionectes striaticollis","Myadestes ralloides","Ortalis guttata","Patagioenas plumbea","Penelope montagnii","Pipreola intermedia","Psarocolius angustifrons","Psarocolius atrovirens","Ramphocelus carbo","Rupicola peruvianus","Saltator maximus","Tangara arthus","Tangara chilensis","Tangara cyanicollis","Tangara gyrola","Tangara nigroviridis","Tangara punctata","Tangara ruficervix","Tangara vassorii","Tangara xanthocephala","Thraupis cyanocephala","Thraupis episcopus","Trichothraupis melanops","Turdus chiguanco","Zimmerius bolivianus"
"Coussarea Dehling2017.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elaeagia mariae",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus coerulescens",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,51,0,0,0,0,0,0,0,1,0,2,5,6,0,0,0,0,0,0,0,0,0
"Graffenrieda cucullata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Guettarda crispiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hedyosmum tepuiense",0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"Miconia affinis",0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Miconia aprica",4,0,4,98,65,80,39,54,16,19,1,15,310,5,0,25,37,130,4,34,7,13,35,0,4,0,16,36,168,0,25,81,123,279,56,214,110,4,2,53,2,8,7,1,4
"Miconia barbeyana",0,0,0,3,0,3,5,7,0,0,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Miconia egensis",0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,5,0,2,2,0,0,0,0,0,0,0,0
"Miconia longifolia",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Miconia prasina",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrcia splendens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoradendron chrysocladon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus floribundus",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Siparuna Dehling2017.unidsp.394",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smilax domingensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Struthanthus polystachyus",0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,3,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
"Symplocos arechea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
