"","Anisognathus somptuosus","Chlorochrysa calliparaea","Chlorophonia cyanea","Chlorospingus flavigularis","Chlorospingus flavopectus","Diglossa caerulescens","Diglossa glauca","Elaenia pallatangae","Entomodestes leucotis","Eubucco versicolor","Euphonia mesochrysa","Euphonia xanthogaster","Iridophanes pulcherrimus","Iridosornis analis","Lophotriccus pileatus","Mionectes striaticollis","Myadestes ralloides","Patagioenas plumbea","Penelope montagnii","Psarocolius angustifrons","Psarocolius atrovirens","Ramphocelus carbo","Rupicola peruvianus","Tangara arthus","Tangara chilensis","Tangara cyanicollis","Tangara gyrola","Tangara nigroviridis","Tangara punctata","Tangara ruficervix","Tangara vassorii","Tangara xanthocephala","Thraupis bonariensis","Thraupis cyanocephala","Turdus chiguanco"
"Cecropia strigosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Graffenrieda cucullata",0,2,0,3,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,20,1,0,12,0,0,0
"Guatteria duodecima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Guettarda crispiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hedyosmum tepuiense",0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
"Ilex nervosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isertia laevis",0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0
"Miconia affinis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Miconia aprica",0,52,2,14,14,1,22,3,0,9,22,53,1,2,1,0,3,0,0,13,7,16,0,84,38,214,10,119,123,5,2,124,1,2,0
"Miconia barbeyana",2,6,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,7,0,5,8,14,3,9,29,1,0,0,0,0,0
"Miconia egensis",0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,20,0,6,7,0,0,3,1,0,0
"Miconia hygrophila",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Miconia myriantha",0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0
"Phoradendron chrysocladon",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pleurothyrium trianae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus floribundus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Struthanthus polystachyus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turpinia occidentalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"Viburnum hallii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
