"","Andigena hypoglauca","Anisognathus igniventris","Buthraupis montana","Chlorornis riefferii","Diglossa brunneiventris","Diglossa cyanea","Diglossa mystacalis","Diglossa sittoides","Elaenia albiceps","Elaenia pallatangae","Iridosornis jelskii","Patagioenas fasciata","Penelope montagnii","Pipreola arcuata","Pipreola intermedia","Tangara vassorii","Thraupis bonariensis","Thraupis cyanocephala","Turdus fuscater","Turdus serranus"
"Bejaria aestuans",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cavendishia bracteata",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cestrum parqui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Dendrophthora chrysostachya",0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendrophthora densifolia",0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendrophthora paucifolia",0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diogenesia vargasiana",0,22,5,2,1,18,0,0,0,14,3,0,0,1,0,0,0,2,3,1
"Disterigma alaternoides",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaultheria myrsinoides",0,14,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,4,0,0
"Gaultheria reticulata",0,9,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum angustifolium",0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0
"Hesperomeles ferruginea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Miconia denticulata",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monnina marginata",0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Myrsine coriacea",0,6,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Podocarpus oleifolius",0,0,6,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Ruagea subviridiflora",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schefflera Dehling2017.unidsp.2",0,10,15,5,0,3,0,0,0,0,0,0,0,0,0,28,0,12,0,0
"Schefflera penelope",0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
"Thibaudia crenulata",3,23,11,2,0,41,6,2,0,2,5,0,5,0,0,1,2,15,8,0
"Thibaudia Dehling2017.unidsp.581",0,5,9,0,0,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0
"Tibouchina calycina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
