"","Andigena hypoglauca","Anisognathus igniventris","Buthraupis montana","Cacicus chrysonotus","Chlorornis riefferii","Diglossa cyanea","Elaenia pallatangae","Iridosornis jelskii","Mionectes striaticollis","Patagioenas fasciata","Penelope montagnii","Pipreola arcuata","Pipreola intermedia","Tangara vassorii","Thraupis cyanocephala","Trogon personatus","Turdus fuscater"
"Cavendishia bracteata",0,0,0,0,3,5,0,2,0,0,0,0,0,0,3,0,0
"Clusia alata",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendrophthora chrysostachya",0,14,0,0,5,3,0,3,0,0,0,0,0,1,3,0,0
"Dendrophthora densifolia",0,2,0,0,2,1,0,6,0,0,0,0,0,0,1,0,0
"Dendrophthora paucifolia",0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Diogenesia vargasiana",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Freziera reticulata",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gaultheria bracteata",0,4,0,0,1,4,0,6,0,0,0,0,0,0,3,0,0
"Gaultheria buxifolia",0,2,3,0,5,0,0,1,1,0,0,0,0,0,0,0,0
"Gaultheria reticulata",0,2,2,0,1,0,0,4,0,0,0,0,0,0,4,0,0
"Hedyosmum angustifolium",0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
"Hesperomeles ferruginea",0,1,13,0,5,0,0,2,0,0,1,6,1,0,0,0,9
"Miconia aprica",0,10,0,0,0,2,0,0,0,0,0,3,2,1,0,0,0
"Miconia Dehling2017.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Miconia denticulata",0,6,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0
"Miconia media",0,6,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0
"Miconia micropetala",0,92,5,2,8,0,0,0,0,0,0,0,4,15,0,0,0
"Miconia rubens",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morella pubescens",0,3,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0
"Myrsine coriacea",0,5,2,0,0,0,0,1,0,0,0,0,0,0,5,0,0
"Podocarpus oleifolius",0,15,0,0,3,0,0,0,0,19,0,2,5,0,0,1,0
"Schefflera Dehling2017.unidsp.2",2,1,49,0,15,0,2,0,0,0,0,0,0,3,22,0,0
"Thibaudia Dehling2017.unidsp.132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tripodanthus acutifolius",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Viburnum reticulatum",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
