"","Ampelion rubrocristatus","Andigena hypoglauca","Anisognathus igniventris","Aulacorhynchus coeruleicinctis","Buthraupis montana","Cacicus chrysonotus","Chlorornis riefferii","Diglossa cyanea","Elaenia albiceps","Iridosornis jelskii","Patagioenas fasciata","Penelope montagnii","Pipreola arcuata","Pipreola intermedia","Tangara nigroviridis","Tangara vassorii","Thraupis cyanocephala","Turdus fuscater","Turdus serranus"
"Cavendishia bracteata",0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
"Clusia elliptica",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendrophthora chrysostachya",0,0,4,0,0,0,2,9,0,0,0,0,0,0,0,1,2,0,0
"Dendrophthora densifolia",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Disterigma alaternoides",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Freziera karsteniana",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Freziera uncinata",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Gaultheria bracteata",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gaultheria buxifolia",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia aprica",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monnina marginata",0,0,7,0,3,0,4,5,1,3,0,0,0,0,0,0,10,0,0
"Morella pubescens",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
"Orthaea boliviensis",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Podocarpus oleifolius",0,0,3,0,2,0,2,0,0,0,0,2,1,2,0,0,2,0,0
"Prunus integrifolia",0,3,0,0,8,0,0,0,0,0,0,0,15,0,0,0,0,0,1
"Schefflera Dehling2017.unidsp.2",5,0,4,0,32,2,8,2,0,0,5,0,2,0,2,4,0,1,0
"Schefflera penelope",0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Solanum Dehling2017.unidsp.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Styrax foveolaria",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Thibaudia crenulata",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
"Viburnum seemenii",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
