"","Eulemur fulvus","Eulemur rubriventer","Propithecus diadema","Varecia variegata"
"Bakerella Dew1998.unidsp.926",0,0,1,0
"Canthium Dew1998.unidsp.869",0,1,1,1
"Chrysophyllum boivinianum",0,0,0,1
"Eugenia Dew1998.unidsp.1",1,0,1,0
"Eugenia Dew1998.unidsp.2",0,0,1,0
"Eugenia Dew1998.unidsp.3",1,1,1,1
"Ficus Dew1998.unidsp.1",1,0,0,0
"Ficus Dew1998.unidsp.2",1,1,0,0
"Ficus Dew1998.unidsp.3",1,0,0,1
"Ficus Dew1998.unidsp.4",1,1,1,1
"Ficus rubra",1,0,0,1
"Mendoncia cowanii",0,0,0,1
"Micronychia Dew1998.unidsp.928",0,0,1,0
"Mussaenda Dew1998.unidsp.479",0,1,0,0
"Neotina Dew1998.unidsp.315",0,1,1,0
"Ochrocarpos Dew1998.unidsp.879",0,0,1,0
"Ocotea Dew1998.unidsp.983",0,0,0,1
"Oncostemum Dew1998.unidsp.1",0,1,0,0
"Oncostemum Dew1998.unidsp.2",1,1,0,0
"Pandanus Dew1998.unidsp.925",0,1,0,0
"Plagioscyphus louvelii",0,0,0,1
"Ravenala madagascariensis",0,0,0,1
"Ravensara Dew1998.unidsp.202",1,1,1,1
"Sideroxylon Dew1998.unidsp.476",0,0,1,1
"Sloanea rhodantha",1,0,0,0
"Solanum auriculatum",0,0,1,0
"Uapaca bojeri",0,0,0,1
"Unknown Dew1998.unidsp.1",1,1,0,1
"Unknown Dew1998.unidsp.2",0,0,0,1
"Unknown Dew1998.unidsp.3",0,0,0,1
"Unknown Dew1998.unidsp.4",0,0,0,1
