"","Carollia perspicillata","Micronycteris megalotis","Phyllostomus hastatus","Rhinophylla pumilio","Sturnira lilium","Uroderma bilobatum"
"Brosimum DosReis.unidsp.1",1,0,0,0,0,0
"Cecropia concolor",0,0,2,0,0,0
"Cecropia distachya",0,0,1,0,0,0
"Ficus DosReis.unidsp.3",0,13,0,0,0,0
"Ficus maxima",2,0,0,0,0,0
"Piper aduncum",28,0,0,2,2,0
"Piper arboreum",4,0,0,0,0,0
"Piper cryptopodon",2,0,0,0,0,0
"Piper DosReis.unidsp.1",7,0,0,0,0,0
"Piper hostmannianum",2,0,0,0,2,0
"Piper tuberculatum",9,0,0,0,0,0
"Solanum caavurana",0,0,0,0,1,0
"Solanum grandiflorum",0,0,0,0,0,1
"Solanum rugosum",5,0,0,0,1,0
"Solanum salviaefolium",1,0,0,0,0,0
"Syzygium cumini",2,0,0,1,0,0
"Tovomita DosReis.unidsp.1",4,0,0,0,0,0
"Vismia glabra",1,0,0,0,0,0
"Vismia guianensis",24,0,0,0,1,0
"Vismia macrophylla",12,0,0,4,3,0
