"","Arizelocichla fusciceps","Arizelocichla milanjensis","Bycanistes brevis","Bycanistes bucinator","Cercopithecus mitis","Cinnyricinclus leucogaster","Columba arquatrix","Columba larvata","Onychognathus walleri","Paraxerus lucifer","Pogoniulus leucomystax","Pycnonotus barbatus","Sylvia borin","Tauraco livingstonii","Tauraco schalowi","Treron calvus","Zosterops senegalensis"
"Agelanthus subulatus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Allophylus abyssinicus",1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
"Allophylus chaunostachys",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthocleista grandiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Aphloia theiformis",1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0
"Asparagus setaceus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bersama abyssinica",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Blighia unijugata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bridelia brideliifolia",1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1
"Bridelia micrantha",1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0
"Carvalhoa campanulata",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Casearia battiscombei",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Cassine aethiopica",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"Celtis africana",1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"Celtis gomphophylla",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chassalia parvifolia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chionanthus battiscombei",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"Chrysophyllum gorungosanum",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"Clausena anisata",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Clerodendrum johnstonii",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clutia abyssinica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffea ligustroides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cola greenwayi",0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
"Cornus volkensii",1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0
"Croton macrostachyus",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"Croton sylvaticus",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Cryptocarya liebertiana",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"Cussonia spicata",1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0
"Cyphostemma kilimandscharicum",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyphostemma masukuense",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyphostemma vandenbrandeanum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dendrophthoe pendens",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Diospyros abyssinica",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Diospyros mespiliformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Diospyros whyteana",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dombeya torrida",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Dracaena laxissima",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dracaena mannii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Drypetes gerrardii",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Ehretia cymosa",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Ekebergia capensis",0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Englerina inaequilatera",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Englerophytum natalense",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Ensete ventricosum",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
