"","Cephalophus callipygus","Cephalophus dorsalis","Cephalophus leucogaster","Cephalophus nigrifrons","Cephalophus silvicultor","Hyemoschus aquaticus","Philantomba monticola"
"Alchornea cordifolia",1,0,0,1,0,1,1
"Anacardiaceae Dubost1984.unidsp.1",0,0,0,0,0,1,1
"Annickia polycarpa",0,0,0,0,0,0,1
"Annonaceae Dubost1984.unidsp.mult",1,1,0,0,0,1,1
"Anonidium mannii",0,1,0,0,0,0,0
"Anopyxis klaineana",1,1,1,0,0,1,1
"Anthocleista schweinfurthii",1,0,0,0,0,1,1
"Anthocleista vogelii",0,1,0,0,0,0,1
"Antrocaryon klaineanum",1,1,1,0,0,1,1
"Antrocaryon micraster",0,0,0,0,0,1,0
"Apocynaceae Dubost1984.unidsp.mult",1,1,1,1,1,1,1
"Arachis hypogaea",0,1,0,0,0,0,0
"Arecaceae Dubost1984.unidsp.mult",0,0,1,0,0,1,1
"Artabotrys congolensis",0,0,1,1,0,0,0
"Artabotrys le-testui",1,1,1,0,0,1,1
"Bombax buonopozense",0,1,0,0,0,1,0
"Burseraceae Dubost1984.unidsp.1",0,0,0,0,0,0,1
"Caloncoba glauca",0,0,1,0,0,0,0
"Canarium schweinfurtii",1,1,0,0,0,0,0
"Capparaceae Dubost1984.unidsp.1",0,1,0,0,0,0,0
"Chrysophyllum pruniforme",1,1,1,1,0,1,1
"Cissus dinklagei",1,0,0,0,0,1,0
"Coelocaryon preussii",1,1,1,1,0,1,1
"Connaraceae Dubost1984.unidsp.mult",1,0,0,0,0,1,1
"Coula edulis",0,1,0,0,0,0,0
"Cucurbitaceae Dubost1984.unidsp.1",0,1,0,0,0,0,0
"Cylindropsis parvifolia",1,1,1,0,0,1,0
"Dacryodes buettneri",0,1,1,1,0,0,1
"Dacryodes igaganga",0,0,0,1,0,0,0
"Dichostemma glaucescens",0,0,0,0,0,1,0
"Diogoa zenkeri",0,0,0,0,0,0,1
"Drypetes Dubost1984.unidsp.1",0,1,0,0,0,0,0
"Duboscia macrocarpa",1,1,0,0,0,0,0
"Eremospatha Dubost1984.unidsp.1",1,0,0,0,1,0,0
"Eremospatha wendlandiana",0,0,0,0,1,0,0
"Euphorbiaceae Dubost1984.unidsp.mult",0,1,1,0,0,0,0
"Fagaceae Dubost1984.unidsp.1",0,0,1,0,0,0,0
"Fagaceae Dubost1984.unidsp.mult",1,1,1,1,0,1,1
"Ficus lingua",1,0,0,0,0,0,0
"Greenwayodendron suaveolens",1,1,1,1,1,1,1
"Heisteria parvifolia",0,0,1,1,0,1,1
"Hugonia planchonii",0,1,1,1,0,0,1
"Hugonia platysepala",1,1,0,0,0,0,0
"Hugonia spicata",1,1,0,0,0,0,1
"Irvingia gabonensis",0,0,1,0,0,0,0
"Irvingia grandifolia",1,1,1,1,0,1,1
"Klainedoxa gabonensis",1,1,1,1,0,0,0
"Loganiaceae Dubost1984.unidsp.1",0,0,0,0,0,1,0
"Mammea africana",0,0,1,0,0,1,0
"Maprounea membranacea",1,0,0,0,0,0,0
"Maranthes glabra",1,0,0,0,0,0,0
"Margaritaria discoidea",0,0,0,0,0,1,1
"Menispermaceae Dubost1984.unidsp.1",0,0,1,1,1,1,0
"Moraceae Dubost1984.unidsp.1",0,0,0,0,1,0,0
"Musanga cecropioides",1,1,1,0,0,1,1
"Myristicaceae Dubost1984.unidsp.1",0,0,0,0,0,1,0
"Nauclea diderrichii",1,1,1,0,0,1,1
"Nauclea pobeguinii",0,0,0,1,0,0,0
"Ongokea gore",1,1,1,1,0,1,1
"Oubanguia africana",0,0,0,0,0,0,1
"Oxyanthus speciosus",0,1,0,0,0,0,0
"Pancovia pedicellaris",0,0,0,1,0,0,1
"Panda oleosa",1,1,1,0,0,0,0
"Parapentas setigera",0,0,0,1,0,0,0
"Parkia bicolor",0,0,1,0,0,1,0
"Pentaclethra eetveldeana",0,0,0,0,1,0,0
"Phyllanthus polyanthus",0,0,1,0,0,0,1
"Physostigma venenosum",0,0,0,1,0,0,0
"Piptadeniastrum africanum",0,0,0,0,0,1,0
"Plagiostyles africana",0,1,1,1,0,0,0
"Pseudospondias longifolia",0,0,1,1,1,0,0
"Ricinodendron heudelotii",0,0,0,0,1,0,0
"Rourea myriantha",0,0,0,0,0,0,1
"Rubiaceae Dubost1984.unidsp.mult",0,1,0,1,0,1,0
"Santiria trimera",0,1,1,0,0,0,0
"Sapotaceae Dubost1984.unidsp.mult",1,0,0,0,0,0,1
"Scyphocephalium ochocoa",0,0,0,0,0,0,1
"Scytopetalum klaineanum",1,0,1,0,0,0,0
"Sherbournia batesii",0,1,0,0,0,0,0
"Solanum torvum",0,1,0,0,0,0,1
"Staudtia kamerunensis var. gabonensis",1,1,1,0,0,1,1
"Strychnos camptoneura",0,0,0,0,1,0,0
"Strychnos ngouniensis",0,0,0,1,0,0,0
"Symphonia globulifera",0,0,0,0,0,1,1
"Thonningia sanguinea",1,1,1,0,0,0,0
"Uapaca guineensis",1,0,0,0,0,0,1
"Uvaria klaineana",1,1,0,0,0,0,1
"Vitex ferruginea",0,1,0,0,0,0,0
"Xylopia aethiopica",0,0,0,0,0,1,0
"Xylopia hypolampra",1,1,0,0,0,1,1
"Xylopia staudtii",1,1,0,0,0,0,1
