"","Hylobates agilis","Presbytis melalophos","Symphalangus syndactylus"
"Actinodaphne borneensis",0,1,1
"Adinandra acuminata",1,0,1
"Aglaia argentea",1,0,1
"Aglaia Elder2013.unidsp.1",1,0,1
"Aglaia Elder2013.unidsp.2",1,0,1
"Aglaia Elder2013.unidsp.3",1,0,1
"Aglaia Elder2013.unidsp.4",0,0,1
"Aglaia Elder2013.unidsp.5",1,0,1
"Aglaia Elder2013.unidsp.6",1,0,1
"Aglaia rubiginosa",0,0,1
"Alseodaphne falcata",1,0,1
"Annonaceae Elder2013.unidsp.73",1,0,1
"Annonaceae Elder2013.unidsp.74",1,0,1
"Annonaceae Elder2013.unidsp.75",1,0,1
"Annonaceae Elder2013.unidsp.76",1,0,1
"Annonaceae Elder2013.unidsp.77",0,1,0
"Antiaris toxicaria",1,0,1
"Apocynaceae Elder2013.unidsp.78",1,1,1
"Aporosa arborea",1,0,1
"Archidendron bubalinum",0,1,0
"Artocarpus dadah",0,0,1
"Artocarpus Elder2013.unidsp.7",0,0,1
"Artocarpus Elder2013.unidsp.8",1,1,1
"Artocarpus Elder2013.unidsp.9",1,0,1
"Artocarpus heterophyllus",1,0,1
"Artocarpus rigidus",0,0,1
"Baccaurea Elder2013.unidsp.10",1,0,1
"Baccaurea lanceolata",0,0,1
"Beilschmiedia Elder2013.unidsp.11",1,0,0
"Bhesa paniculata",1,1,1
"Celtis nigrescens",1,0,1
"Cissus adnata",1,0,1
"Cleistanthus monoicus",1,0,1
"Cryptocarya ferrea",0,1,1
"Daemonorops Elder2013.unidsp.12",1,0,1
"Daemonorops Elder2013.unidsp.13",0,0,1
"Daemonorops Elder2013.unidsp.14",0,0,1
"Dehaasia microsepala",1,0,1
"Diospyros aurea",1,0,1
"Diospyros Elder2013.unidsp.15",1,0,1
"Diospyros korthalsiana",1,0,1
"Diospyros macrophylla",1,0,1
"Dipterocarpus retusus",0,1,0
"Dysoxylum renniformes",1,0,0
"Eugenia acutissima",1,0,1
"Eugenia Elder2013.unidsp.16",1,0,0
"Eugenia Elder2013.unidsp.17",1,0,1
"Eugenia Elder2013.unidsp.18",1,0,1
"Eugenia Elder2013.unidsp.19",1,0,1
"Ficus albipila",1,0,1
"Ficus altissima",1,0,1
"Ficus benjamina",1,0,1
"Ficus caulocarpa",1,0,1
"Ficus crassiramea",1,1,1
"Ficus crassiramea subsp. stupenda",1,1,1
"Ficus depressa",1,0,1
"Ficus drupacea",1,0,1
"Ficus elastica",1,0,1
"Ficus Elder2013.unidsp.20",0,0,1
"Ficus Elder2013.unidsp.21",1,0,1
"Ficus Elder2013.unidsp.22",1,0,1
"Ficus Elder2013.unidsp.23",1,0,1
"Ficus Elder2013.unidsp.24",1,0,1
"Ficus Elder2013.unidsp.25",1,0,1
"Ficus Elder2013.unidsp.26",1,0,1
"Ficus Elder2013.unidsp.27",0,0,1
"Ficus Elder2013.unidsp.28",0,0,1
"Ficus Elder2013.unidsp.29",0,0,1
"Ficus Elder2013.unidsp.30",0,0,1
"Ficus Elder2013.unidsp.31",0,0,1
"Ficus Elder2013.unidsp.32",0,0,1
"Ficus Elder2013.unidsp.33",1,0,1
"Ficus Elder2013.unidsp.34",1,0,1
"Ficus Elder2013.unidsp.35",1,0,1
"Ficus Elder2013.unidsp.36",1,0,1
"Ficus Elder2013.unidsp.37",1,0,1
"Ficus Elder2013.unidsp.38",1,0,1
"Ficus Elder2013.unidsp.39",1,0,1
"Ficus Elder2013.unidsp.40",1,0,1
"Ficus Elder2013.unidsp.41",1,0,1
"Ficus Elder2013.unidsp.42",1,0,1
"Ficus Elder2013.unidsp.43",1,0,1
"Ficus Elder2013.unidsp.44",1,0,1
"Ficus Elder2013.unidsp.45",1,0,1
"Ficus Elder2013.unidsp.46",1,0,1
"Ficus Elder2013.unidsp.47",1,0,1
"Ficus Elder2013.unidsp.48",1,1,1
"Ficus Elder2013.unidsp.49",1,1,1
"Ficus Elder2013.unidsp.50",1,1,1
"Ficus Elder2013.unidsp.51",1,0,1
"Ficus globosa",1,1,1
"Ficus kerkhovenii",1,1,1
"Ficus pale",0,1,1
"Ficus variegata",0,1,1
"Ficus virens",1,1,1
"Flacourtia rukam",0,0,1
"Garcinia Elder2013.unidsp.52",1,0,1
"Garcinia Elder2013.unidsp.53",0,0,1
"Garcinia parvifolia",1,0,1
"Gironniera subaequalis",0,0,1
"Horsfieldia Elder2013.unidsp.54",1,0,1
"Horsfieldia Elder2013.unidsp.55",1,0,1
"Horsfieldia Elder2013.unidsp.56",1,0,1
"Leea indica",0,0,1
"Lithocarpus Elder2013.unidsp.57",0,1,0
"Litsea resinosa",1,0,1
"Microcos florida",0,0,1
"Miliusa horsfieldii",1,0,1
"Myristica Elder2013.unidsp.58",1,0,0
"Nauclea officinalis",0,1,1
"Neolamarckia cadamba",1,0,1
"Nephelium Elder2013.unidsp.59",1,1,1
"Nephelium Elder2013.unidsp.60",1,0,0
"Palaquium beccarianum",1,0,1
"Palaquium Elder2013.unidsp.61",1,0,1
"Palaquium Elder2013.unidsp.62",1,1,1
"Palaquium Elder2013.unidsp.63",0,0,1
"Palaquium Elder2013.unidsp.64",1,0,1
"Payena Elder2013.unidsp.65",1,1,1
"Payena Elder2013.unidsp.66",0,1,0
"Piper Elder2013.unidsp.67",1,1,1
"Polyalthia Elder2013.unidsp.68",1,0,1
