"","Aves Engel2000.unidsp.mult","Bycanistes brevis","Cercopithecus mitis","Civettictis civetta","Colius striatus","Colobus angolensis","Cricetomys gambianus","Eidolon helvum","Epomophorus wahlbergi","Francolinus afer","Genetta maculata","Gerrhosaurus major","Hystrix africaeaustralis","Ichneumia albicauda","Kinixys belliana","Lonchura nigriceps","Loxodonta africana","Nandinia binotata","Neotragus moschatus","Otolemur garnettii","Papio cynocephalus","Paraxerus Engel2000.unidsp.1","Ploceus cucullatus","Rodentia Engel2000.unidsp.mult","Rousettus Engel2000.unidsp.mult","Stigmochelys pardalis","Sylvicapra grimmia","Tockus alboterminatus","Tragelaphus scriptus","Treron calvus","Viverridae Engel2000.unidsp.mult"
"Adansonia digitata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adenanthera pavonina",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afzelia quanzensis",0,1,2,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0
"Agelanthus sansibarensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Albertisia undulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alchornea Engel2000.unidsp.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aleurites moluccanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Allophylus pervillei",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Anacardium occidentale",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Annona muricata",0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Annona senegalensis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Annona squamosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Annonaceae Engel2000.unidsp.1",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
