"","Artibeus bogotensis","Artibeus lituratus","Carollia brevicauda","Chiroderma salvini","Platyrrhinus dorsalis","Sturnira aratathomasi","Sturnira erythromos","Sturnira ludovici"
"Anthurium Estrada-Villegas2010.unidsp.1",0,0,0,0,0,0,0,1
"Cecropia telealba",0,1,1,1,1,0,0,1
"Cuatresia riparia",0,0,1,0,0,0,1,1
"Ficus cuatrecasasiana",1,0,0,1,0,0,0,0
"Piper aduncum",0,0,1,0,0,0,1,0
"Piper crassinervium",0,0,1,0,0,0,0,0
"Piper imperiale",0,0,0,0,0,0,0,1
"Psammisia Estrada-Villegas2010.unidsp.334",1,0,0,0,0,0,0,0
"Saurauia brachybotrys",0,0,1,0,0,0,0,0
"Solanum sycophanta",0,0,0,0,0,1,0,1
"Vismia guianensis",0,0,1,0,0,0,0,0
"Xanthosoma daguense",0,0,0,0,0,0,1,0
