"","Baillonius bailloni","Basileuterus culicivorus","Celeus flavescens","Chiroxiphia caudata","Dacnis cayana","Elaenia Fadini2004.unidsp.mult","Hemithraupis ruficapilla","Hylophilus amaurocephalus","Ilicura militaris","Manacus manacus","Megarynchus pitangua","Mionectes rufiventris","Penelope obscura","Pionus maximiliani","Pitangus sulphuratus","Pteroglossus aracari","Saltator similis","Tachyphonus coronatus","Tangara cayana","Tangara cyanoventris","Thlypopsis sordida","Thraupis sayaca","Tolmomyias sulphurescens","Trichothraupis melanops","Trogon surrucura","Turdus albicollis","Turdus amaurochalinus","Turdus leucomelas","Turdus rufiventris"
"Aegiphila sellowiana",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Allophylus edulis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casearia sylvestris",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,0
"Cecropia glaziovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
"Euterpe edulis",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0
"Ficus Fadini2004.unidsp.945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guapira opposita",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guarea macrophylla",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ilex Fadini2004.unidsp.484",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Inga edulis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia budlejoides",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"Miconia cinnamomifolia",2,0,1,6,5,6,2,0,0,4,0,0,2,0,0,1,1,5,7,6,1,6,1,7,0,5,1,1,1
"Miconia Fadini2004.unidsp.1",0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0
"Miconia tentaculifera",0,1,0,6,2,0,0,0,1,3,0,0,0,0,0,0,3,5,0,4,0,0,0,4,0,0,0,0,0
"Nectandra Fadini2004.unidsp.1",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Nectandra lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,3
"Ouratea polygyna",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paullinia Fadini2004.unidsp.979",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria Fadini2004.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria Fadini2004.unidsp.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria vellosiana",0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubiaceae Fadini2004.unidsp.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senna macranthera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"Symplocos pubescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Vitis Fadini2004.unidsp.889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
