"","Cacicus chrysopterus","Cacicus haemorrhous","Chiroxiphia caudata","Chlorophonia cyanea","Coryphospingus cucullatus","Cyanocompsa brissonii","Cyanocorax caeruleus","Cyclarhis gujanensis","Elaenia Fontanari2018.unidsp.806","Elaenia parvirostris","Empidonomus varius","Euphonia chalybea","Euphonia chlorotica","Euphonia cyanocephala","Euphonia pectoralis","Hemithraupis guira","Icterus pyrrhopterus","Megarynchus pitangua","Mionectes rufiventris","Myiodynastes maculatus","Pachyramphus castaneus","Pachyramphus polychopterus","Pachyramphus validus","Penelope obscura","Pipraeidea melanonota","Pitangus sulphuratus","Pyrrhocoma ruficeps","Ramphastos dicolorus","Saltator similis","Stephanophorus diadematus","Tachyphonus coronatus","Tangara preciosa","Thraupis bonariensis","Thraupis sayaca","Tityra cayana","Trichothraupis melanops","Trogon surrucura","Turdus albicollis","Turdus amaurochalinus","Turdus leucomelas","Turdus rufiventris","Turdus subalaris","Tyrannus melancholicus","Vireo olivaceus","Zonotrichia capensis"
"Alchornea triplinervia",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0
"Allophylus edulis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0
"Annona neosalicifolia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cabralea canjerana",1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0
"Casearia sylvestris",0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
"Cereus hildmannianus",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"Chamissoa altissima",0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
"Cordia ecalyculata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cupania vernalis",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1
"Eriobotrya japonica",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"Eugenia uniflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0
"Ficus cestrifolia",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus luschnathiana",1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1
"Hovenia dulcis",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ilex brevicuspis",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0
