"","Avahi laniger","Cheirogaleus major","Hapalemur griseus","Indri indri","Lemur fulvus","Lepilemur mustelinus","Microcebus rufus"
"Anthocleista madagascariensis",0,1,0,0,0,0,0
"Aphloia theiformis",0,1,0,0,0,0,0
"Calophyllum milvum",0,0,0,0,2,0,0
"Canthium Ganzhorn1988.unidsp.1",0,0,0,0,2,0,1
"Canthium Ganzhorn1988.unidsp.2",0,0,0,0,0,1,0
"Chrysophyllum boivinianum",1,0,0,1,2,0,0
"Clidemia hirta",0,0,1,0,2,0,1
"Cryptocarya pervillei",0,0,0,1,0,0,0
"Cryptocarya thouvenotii",0,1,0,0,0,0,0
"Diospyros Ganzhorn1988.unidsp.1",0,1,0,0,0,0,0
"Drypetes madagascariensis",0,0,0,0,0,0,1
"Eugenia Ganzhorn1988.unidsp.1",0,0,0,0,2,0,0
"Ficus pachyclada",0,0,0,0,2,0,0
"Ficus politoria",0,1,0,0,2,0,0
"Gaertnera Ganzhorn1988.unidsp.1",0,1,0,0,0,0,0
"Garcinia verrucosa",0,0,0,1,2,0,1
"Lantana camara",0,1,0,0,0,0,1
"Ludia scolopioides",0,0,0,0,2,0,0
"Medinilla Ganzhorn1988.unidsp.1",0,0,0,0,0,0,1
"Memecylon Ganzhorn1988.unidsp.1",0,0,0,0,0,0,1
"Ocotea cymosa",0,1,0,0,2,0,0
"Oncostemum Ganzhorn1988.unidsp.1",0,0,0,0,0,0,1
"Psorospermum Ganzhorn1988.unidsp.1",0,0,0,0,0,1,1
"Ravensara flavescens",0,0,0,1,2,0,0
"Rheedia Ganzhorn1988.unidsp.1",1,0,0,0,2,0,1
"Scolopia Ganzhorn1988.unidsp.1",0,1,0,0,0,0,0
"Symphonia Ganzhorn1988.unidsp.1",0,0,0,0,2,0,0
"Symphonia Ganzhorn1988.unidsp.2",0,0,0,1,2,0,0
"Symphonia louvelii",0,0,0,0,2,0,0
"Symphonia tanalensis",0,0,0,1,2,0,0
"Syzygium emirnense",0,1,0,0,2,1,0
"Tina apiculata",0,1,0,1,2,0,0
"Unidentified Ganzhorn1988.unidsp.1",0,0,0,0,2,0,0
"Vaccinium madagascariense",0,1,0,0,0,0,0
"Vitex pachyclada",0,0,0,0,2,0,0
