"","Anthornis melanura","Hemiphaga novaeseelandiae","Prosthemadera novaeseelandiae","Sturnus vulgaris","Turdus merula","Turdus philomelos","Zosterops lateralis"
"Coprosma grandifolia",0,0,0,0,1,0,4
"Coprosma robusta",4,0,0,0,2,1,7
"Crataegus monogyna",0,0,0,0,0,0,1
"Fuchsia excorticata",0,1,0,0,0,0,0
"Hedycarya arborea",0,1,0,0,0,0,0
"Malus domestica",4,0,0,0,0,0,0
"Melicytus ramiflorus",0,1,0,1,1,0,2
"Myoporum laetum",0,0,0,0,1,1,0
"Neopanax arboreus",2,3,1,21,13,8,50
"Piper excelsum",0,1,0,0,0,0,1
"Pittosporum eugenioides",0,0,0,0,0,0,7
"Pittosporum tenuifolium",0,0,0,0,0,0,1
"Podocarpus totara",88,5,2,3,7,3,27
"Prumnopitys ferruginea",0,1,0,0,0,0,0
"Prumnopitys taxifolia",4,11,2,3,7,3,0
"Rapanea australis",0,0,0,0,0,0,1
