"","Artibeus lituratus","Carollia perspicillata","Glossophaga soricina","Platyrrhinus recifinus","Sturnira lilium","Vampyressa pusilla"
"Carica papaya",1,0,0,0,0,0
"Cecropia glaziovii",2,4,1,1,0,0
"Ficus Garciaet.unidsp.1",1,0,0,0,0,0
"Ficus Garciaet.unidsp.2",1,0,0,0,0,0
"Ficus Garciaet.unidsp.3",1,0,0,0,0,0
"Miconia Garciaet.unidsp.457",1,0,0,0,0,0
"Piper aduncum",1,0,0,0,1,0
"Piper Garciaet.unidsp.302",1,3,0,0,0,0
"Psidium Garciaet.unidsp.1",2,0,0,0,1,0
"Psidium Garciaet.unidsp.2",1,0,0,0,0,2
"Solanaceae Garciaet.unidsp.1",0,0,0,0,1,0
"Solanaceae Garciaet.unidsp.2",0,1,0,0,0,0
"Solanaceae Garciaet.unidsp.3",0,1,0,0,0,0
"Solanaceae Garciaet.unidsp.4",0,5,0,0,2,0
