"","Artibeus jamaicensis","Artibeus lituratus","Artibeus phaeotis","Artibeus toltecus","Sturnira lilium","Sturnira ludovici"
"Ageratum Garcia-Estrada2012.unidsp.423",0,0,0,0,1,0
"Alchornea latifolia",3,0,0,1,0,0
"Aldama Garcia-Estrada2012.unidsp.50",1,0,0,0,0,0
"Calophyllum brasiliense",4,1,0,0,0,0
"Casimiroa edulis",9,1,0,0,0,0
"Cecropia obtusifolia",51,30,7,7,8,2
"Cecropia peltata",2,1,0,0,0,0
"Drymaria Garcia-Estrada2012.unidsp.359",1,0,0,0,1,1
"Eriobotrya japonica",2,0,0,0,0,0
"Ficus aurea",49,18,3,4,0,2
"Ficus Garcia-Estrada2012.unidsp.2",1,0,0,2,0,1
"Ficus Garcia-Estrada2012.unidsp.3",0,0,1,0,0,1
"Ficus pertusa",17,2,2,5,0,1
"Garcinia intermedia",0,1,0,0,0,1
"Guazuma ulmifolia",3,1,0,0,0,0
"Hedyosmum mexicanum",0,0,0,0,0,6
"Juanulloa mexicana",0,0,1,0,2,2
"Miconia mexicana",0,0,0,0,1,0
"Muntingia calabura",3,1,0,0,0,0
"Peperomia Garcia-Estrada2012.unidsp.275",5,1,1,4,3,15
"Piper auritum",9,0,3,1,2,22
"Piper pseudolindenii",0,0,0,0,1,2
"Psidium guajava",3,2,0,1,0,0
"Salvia Garcia-Estrada2012.unidsp.260",0,0,1,6,1,0
"Saurauia kegeliana",0,0,0,0,1,0
"Saurauia madrensis",0,0,2,1,2,11
"Sideroxylon capiri",1,1,0,0,0,0
"Solanum chrysotrichum",19,10,14,13,40,21
"Solanum diphyllum",3,0,10,20,11,6
"Syzygium jambos",2,0,0,0,0,0
"Tridax Garcia-Estrada2012.unidsp.427",1,0,0,0,0,0
"Trophis mexicana",4,1,0,0,2,0
"Unknown Garcia-Estrada2012.unidsp.1",2,3,3,1,0,2
"Unknown Garcia-Estrada2012.unidsp.2",1,1,2,3,2,0
"Unknown Garcia-Estrada2012.unidsp.4",2,0,0,0,0,0
"Unknown Garcia-Estrada2012.unidsp.6",1,0,0,0,0,0
"Unknown Garcia-Estrada2012.unidsp.7",0,0,0,1,0,0
"Vernonia Garcia-Estrada2012.unidsp.194",1,0,0,0,0,0
