"","Artibeus jamaicensis","Artibeus lituratus","Artibeus toltecus","Carollia sowelli","Glossophaga soricina","Sturnira lilium","Sturnira ludovici"
"Cecropia obtusifolia",0,3,0,0,0,0,0
"Coussapoa villosa",0,0,1,0,0,0,0
"Ficus cotinifolia",19,3,3,0,0,6,11
"Ficus Garcia-Morales2012.unidsp.1",1,0,1,0,0,0,0
"Ficus maxima",1,2,0,0,0,0,0
"Ficus obtusifolia",1,5,2,0,0,0,0
"Maclura tinctoria",0,6,0,0,0,7,14
"Muntingia calabura",0,1,0,0,0,0,1
"Piper Garcia-Morales2012.unidsp.1",1,0,0,0,0,1,0
"Piper Garcia-Morales2012.unidsp.2",0,0,0,0,1,1,0
"Piper hispidum",0,0,2,0,5,13,19
"Piper yzabalanum",0,0,1,5,0,4,3
"Psidium guajava",0,3,0,0,0,0,0
"Solanum diphyllum",0,0,0,0,0,1,3
"Solanum erianthum",0,0,0,0,0,2,13
