"","Cephalophus dorsalis","Cephalophus Gautier-Hion1985.unidsp.mult","Cephalophus nigrifrons","Cephalophus silvicultor","Cercopithecus cephus","Cricetomys emini","Desmodillus auricularis","Heliosciurus rufobrachium","Hybomys univittatus","Hylomyscus Gautier-Hion1985.unidsp.mult","Lophocebus albigena","Loxodonta cyclotis","Myosciurus pumilio","Philantomba monticola","Praomys tullbergi","Thamnomys Gautier-Hion1985.unidsp.mult"
"Anonidium mannii",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"Antrocaryon Gautier-Hion1985.unidsp.mult",1,1,1,1,1,0,0,0,0,0,2,1,0,1,0,0
"Beilschmiedia Gautier-Hion1985.unidsp.mult",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Caloncoba welwitschii",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Camptostylus mannii",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Casearia Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Chrysophyllum beguei",1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"Chrysophyllum boukokoense",1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"Chrysophyllum lacourtianum",1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
"Chytranthus Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Cissus Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Cnestis Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Coelocaryon preussii",0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1
"Coula edulis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Croton Gautier-Hion1985.unidsp.mult",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"Crudia Gautier-Hion1985.unidsp.mult",0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1
"Cylindropsis Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Dacryodes buettneri",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Dacryodes klaineana",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Dacryodes normandii",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Detarium Gautier-Hion1985.unidsp.mult",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Dialium dinklagei",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Dichapetalum Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Dictyophleba Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Drypetes Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"Duboscia macrocarpa",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Duguetia Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Ficus craterostoma",0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
"Ficus Gautier-Hion1985.unidsp.mult",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ficus lingua",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Grewia Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Heisteria Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
"Hexalobus Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"Hugonia Gautier-Hion1985.unidsp.mult",1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1
"Hugonia platysepala",1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
"Irvingia gabonensis",1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Klainedoxa Gautier-Hion1985.unidsp.mult",0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1
"Landolphia Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Mammea africana",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"Musanga cecropioides",1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0
"Myrianthus Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"Nauclea Gautier-Hion1985.unidsp.mult",0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1
"Oncoba dentata",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Ongokea gore",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"Pancovia pedicellaris",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Panda Gautier-Hion1985.unidsp.mult",0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
"Petersianthus macrocarpus",0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1
"Picralima nitida",0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1
"Plagiostyles africana",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Polyalthia Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"Pseudospondias Gautier-Hion1985.unidsp.mult",1,1,1,1,1,0,0,0,0,0,2,1,0,1,0,0
"Pycnanthus angolensis",0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0
"Santiria trimera",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Sorindeia Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"Staudtia kamerunensis var. gabonensis",0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1
"Strombosia Gautier-Hion1985.unidsp.mult",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"Strombosiopsis tetrandra",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Strychnos Gautier-Hion1985.unidsp.mult",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Symphonia globulifera",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Synsepalum Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Trichilia Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Trichoscypha acuminata",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"Trichoscypha arborea",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"Trichoscypha mannii",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Uapaca Gautier-Hion1985.unidsp.mult",0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"Undetermined Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Uvaria Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Xylopia Gautier-Hion1985.unidsp.mult",0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1
