"","Alouatta macconnelli","Ateles paniscus","Sapajus apella"
"Alchorneopsis floribunda",1,0,0
"Ambelania acida",0,0,1
"Annonaceae Guillotin1994.unidsp.1",1,0,0
"Annonaceae Guillotin1994.unidsp.2",1,0,1
"Annonaceae Guillotin1994.unidsp.3",0,1,0
"Anomospermum chloranthum",0,1,0
"Anomospermum Guillotin1994.unidsp.1",0,1,0
"Araceae Guillotin1994.unidsp.1",0,1,0
"Bagassa guianensis",1,1,0
"Bignoniaceae Guillotin1994.unidsp.1",0,0,1
"Brosimum acutifolium",0,1,0
"Cayaponia ophthalmica",1,1,1
"Cecropia obtusa",1,0,1
"Cecropia sciadophylla",1,1,1
"Chrysophyllum lucentifolium",0,1,0
"Coccoloba Guillotin1994.unidsp.1",0,1,0
"Cordia Guillotin1994.unidsp.1",0,0,1
"Coussapoa angustifolia",0,1,1
"Coussapoa latifolia",0,0,1
"Cupania scrobiculata",0,0,1
"Davilla kunthii",0,0,1
"Diospyros Guillotin1994.unidsp.1",0,0,1
"Doliocarpus paraensis",1,0,0
"Dussia discolor",0,1,0
"Eugenia coffeifolia",0,0,1
"Euphorbiaceae Guillotin1994.unidsp.1",0,0,1
"Euterpe oleracea",0,1,0
"Fagaceae Guillotin1994.unidsp.1",0,1,0
"Ficus Guillotin1994.unidsp.mult",1,1,1
"Goupia glabra",1,1,1
"Guarea silvatica",0,1,0
"Guatteria Guillotin1994.unidsp.1",0,1,0
"Helicostylis Guillotin1994.unidsp.1",0,1,1
"Herrania kanukuensis",0,0,1
"Heteropsis flexuosa",0,0,1
"Hieronyma alchorneoides",0,1,0
"Inga Guillotin1994.unidsp.1",0,1,1
"Inga Guillotin1994.unidsp.2",0,1,1
"Inga Guillotin1994.unidsp.3",1,1,1
"Inga Guillotin1994.unidsp.4",1,0,1
"Iryanthera sagotiana",1,1,0
"Isertia coccinea",0,0,1
"Jacaratia spinosa",0,1,1
"Lacunaria crenata",0,0,1
"Lauraceae Guillotin1994.unidsp.1",1,1,0
"Lecythis Guillotin1994.unidsp.1",0,0,1
"Ludovia lancifolia",1,1,1
"Malpighiaceae Guillotin1994.unidsp.1",0,0,1
"Maquira guianensis",1,0,0
"Marcgravia Guillotin1994.unidsp.1",0,0,1
"Maripa scandens",0,0,1
"Maytenus Guillotin1994.unidsp.1",0,1,0
"Mendoncia Guillotin1994.unidsp.1",0,0,1
"Miconia Guillotin1994.unidsp.1",0,0,1
"Micropholis melinoniana",1,0,1
"Minquartia guianensis",0,0,1
"Moutabea guianensis",1,0,0
"Neea Guillotin1994.unidsp.1",0,1,1
"Ocotea floribunda",1,0,0
"Oenocarpus bacaba",0,1,0
"Oreopanax capitatus",0,0,1
"Orthomene schomburgkii",0,0,1
"Passiflora Guillotin1994.unidsp.1",0,0,1
"Posoqueria Guillotin1994.unidsp.1",0,0,1
"Posoqueria latifolia",0,0,1
"Pourouma Guillotin1994.unidsp.1",1,1,1
"Pouteria congestifolia",1,0,0
"Pouteria egregia",1,0,0
"Pouteria Guillotin1994.unidsp.1",1,0,0
"Protium tenuifolium",0,1,0
"Psychotria carthagenensis",0,1,1
"Quararibea Guillotin1994.unidsp.1",0,1,0
"Securidaca Guillotin1994.unidsp.1",0,0,1
"Spondias mombin",1,0,0
"Sterculia frondosa",0,0,1
"Strychnos Guillotin1994.unidsp.1",1,0,0
"Styrax guyanensis",0,0,1
"Tetragastris altissima",1,1,0
"Tetragastris panamensis",1,1,0
"Theobroma subincanum",0,1,0
"Trichilia septentrionalis",0,0,1
"Undetermined Guillotin1994.unidsp.1",0,0,1
"Undetermined Guillotin1994.unidsp.10",1,0,0
"Undetermined Guillotin1994.unidsp.11",0,0,1
"Undetermined Guillotin1994.unidsp.12",0,0,1
"Undetermined Guillotin1994.unidsp.13",1,0,0
"Undetermined Guillotin1994.unidsp.14",0,0,1
"Undetermined Guillotin1994.unidsp.15",0,0,1
"Undetermined Guillotin1994.unidsp.16",0,0,1
"Undetermined Guillotin1994.unidsp.17",0,0,1
"Undetermined Guillotin1994.unidsp.18",0,0,1
"Undetermined Guillotin1994.unidsp.19",0,1,0
"Undetermined Guillotin1994.unidsp.2",0,0,1
"Undetermined Guillotin1994.unidsp.20",0,1,0
"Undetermined Guillotin1994.unidsp.21",0,0,1
"Undetermined Guillotin1994.unidsp.22",0,1,0
"Undetermined Guillotin1994.unidsp.23",1,0,0
"Undetermined Guillotin1994.unidsp.3",0,0,1
"Undetermined Guillotin1994.unidsp.4",1,1,1
"Undetermined Guillotin1994.unidsp.5",0,0,1
"Undetermined Guillotin1994.unidsp.6",0,1,1
"Undetermined Guillotin1994.unidsp.7",1,0,1
"Undetermined Guillotin1994.unidsp.8",0,0,1
"Undetermined Guillotin1994.unidsp.9",0,0,1
"Unonopsis guatterioides",0,0,1
"Virola michelii",1,1,0
"Vitex fanshawii",1,0,0
"Ziziphus cinnamomum",1,1,1
