"","Artibeus jamaicensis","Carollia perspicillata","Glossophaga soricina","Sturnira lilium"
"Anacardium excelsum",3,0,0,0
"Cecropia Heithaus1975.unidsp.150",2,1,1,1
"Ficus insipida",20,4,4,0
"Maclura tinctoria",6,6,1,10
"Manilkara zapota",1,0,0,0
"Muntingia calabura",4,11,69,18
"Piper amalago",0,5,0,0
"Piper glabrescens",0,4,0,0
"Piper Heithaus1975.unidsp.531",0,3,0,1
"Piper jacquemontianum",0,8,0,0
"Piper tuberculatum",1,81,1,19
"Solanum Heithaus1975.unidsp.750",1,8,0,7
"Solanum hirtum",0,59,1,29
"Spondias mombin",1,20,0,0
"Unknown Heithaus1975.unidsp.1",0,1,0,0
"Unknown Heithaus1975.unidsp.11",0,0,0,1
"Unknown Heithaus1975.unidsp.12",1,1,0,0
"Unknown Heithaus1975.unidsp.13",1,0,0,0
"Unknown Heithaus1975.unidsp.14",12,8,5,4
"Unknown Heithaus1975.unidsp.5",0,1,0,0
"Unknown Heithaus1975.unidsp.7",0,1,0,0
