"","Alouatta palliata","Aotus zonalis","Ateles geoffroyi","Cebus imitator","Saguinus geoffroyi","Saimiri oerstedii"
"Alibertia edulis",0,0,0,1,0,0
"Anacardium excelsum",1,0,0,1,0,0
"Annona spraguei",0,0,1,1,0,0
"Anthurium Hladik1969.unidsp.1",0,0,0,0,0,1
"Apeiba glabra",0,0,0,1,0,0
"Astrocaryum standleyanum",0,0,1,0,0,0
"Attalea rostrata",0,0,0,1,0,0
"Brosimum alicastrum subsp. bolivarense",1,0,1,0,0,0
"Carludovica palmata",0,0,0,0,1,0
"Cecropia Hladik1969.unidsp.mult",0,0,0,0,0,1
"Cecropia longipes",0,0,1,0,1,0
"Cecropia obtusifolia",0,0,1,0,0,0
"Cecropia peltata",1,0,1,1,0,0
"Chrysophyllum cainito",1,0,0,1,0,0
"Citrus Hladik1969.unidsp.1",0,0,1,0,0,0
"Coccoloba Hladik1969.unidsp.mult",0,0,0,1,0,0
"Cordia laevigata",0,0,0,1,0,0
"Cupania latifolia",0,0,0,1,0,0
"Dendropanax arboreus",0,0,0,1,0,0
"Desmoncus Hladik1969.unidsp.294",0,0,0,1,0,0
"Desmopsis panamensis",0,0,0,1,0,0
"Dipteryx oleifera",1,0,1,1,0,0
"Doliocarpus Hladik1969.unidsp.1",1,0,1,1,0,0
"Faramea occidentalis",0,0,0,1,0,0
"Ficus hartwegii",0,0,0,1,0,0
"Ficus insipida",1,0,1,1,0,0
"Ficus obtusifolia",1,0,1,1,0,0
"Ficus tonduzii",1,0,0,0,0,0
"Garcinia intermedia",0,0,0,1,0,0
"Garcinia madruno",0,0,0,1,0,0
"Genipa americana",0,0,0,0,1,0
"Gustavia superba",0,0,0,1,0,0
"Hasseltia floribunda",0,0,0,1,0,0
"Hybanthus prunifolius",0,0,0,1,0,0
"Inga edulis",0,0,0,1,0,0
"Inga goldmanii",0,0,1,1,0,0
"Inga Hladik1969.unidsp.301",0,0,0,1,0,0
"Inga Hladik1969.unidsp.389",0,0,1,1,0,0
"Inga Hladik1969.unidsp.531",0,0,0,1,0,0
"Inga Hladik1969.unidsp.547",0,0,0,1,0,0
"Lacmellea edulis",1,0,0,0,1,0
"Mabea occidentalis",0,0,0,1,0,0
"Mangifera indica",0,0,1,1,0,0
"Maripa panamensis",0,0,0,1,0,0
"Miconia argentea",0,0,0,1,0,0
"Mouriri myrtilloides",1,0,1,1,0,0
"Musa × paradisiaca",0,0,1,1,0,0
"Pentagonia macrophylla",0,0,0,1,0,0
"Perebea xanthochyma",1,0,0,0,0,0
"Piper carrilloanum",0,0,0,0,1,0
"Platypodium elegans",1,0,0,0,0,0
"Prioria copaifera",0,0,0,1,0,0
"Protium tenuifolium subsp. sessiliflorum",0,0,1,0,0,0
"Psidium guajava",0,0,1,0,0,0
"Quararibea asterolepis",1,1,1,0,0,0
"Quassia amara",0,0,0,1,0,0
"Randia armata",0,0,0,1,0,0
"Socratea exorrhiza",0,0,1,0,0,0
"Spondias mombin",1,0,1,1,0,0
"Sterculia apetala",0,0,0,1,0,0
"Syzygium malaccense",1,0,0,0,0,0
"Thevetia ahouai",0,0,0,1,0,0
"Tocoyena pittieri",0,0,1,1,0,0
"Trichilia cipo",1,0,1,1,0,0
"Trophis caucana",0,0,0,1,1,0
"Virola sebifera",1,0,1,1,0,0
"Zanthoxylum Hladik1969.unidsp.1",1,0,0,1,0,0
