"","Macaca sinica","Semnopithecus priam","Semnopithecus vetulus"
"Aglaia elaeagnoidea",0,1,0
"Alangium salviifolium",1,1,0
"Alseodaphne semecarpifolia",1,1,0
"Bridelia retusa",1,1,0
"Canthium Hladik1972.unidsp.1124",1,0,0
"Cassia fistula",0,1,0
"Cassia roxburghii",0,1,0
"Cassine glauca",0,1,1
"Datura metel",0,1,0
"Diospyros montana",0,1,1
"Diospyros ovalifolia",0,1,0
"Drypetes sepiaria",1,1,1
"Eugenia roxburghii",0,0,1
"Ficus amplissima",1,1,1
"Ficus benghalensis",1,1,1
"Ficus mollis",1,0,0
"Ficus racemosa",0,0,1
"Ficus retusa",1,1,0
"Garcinia spicata",1,0,1
"Glenniea unijuga",1,1,0
"Grewia polygama",1,1,1
"Haldina cordifolia",0,1,1
"Holoptelea integrifolia",1,1,1
"Lannea coromandelica",0,1,0
"Lepisanthes tetraphylla",0,1,0
"Madhuca longifolia",0,1,0
"Manilkara hexandra",1,1,1
"Polyalthia Hladik1972.unidsp.1",1,0,0
"Premna tomentosa",1,1,0
"Sapindus emarginatus",0,1,0
"Schleichera oleosa",1,1,1
"Sterculia foetida",0,1,0
"Streblus asper",0,1,0
"Strychnos potatorum",0,1,1
"Syzygium cumini",0,1,1
"Tamarindus indica",1,1,0
"Vitex pinnata",1,1,1
"Walsura piscidia",1,1,1
