"","Cercopithecus ascanius","Cercopithecus mitis","Lophocebus albigena","Pan troglodytes"
"Celtis africana",13,6,0,48
"Celtis gomphophylla",22,26,2,18
"Chionanthus africanus",10,0,0,10
"Clausena abyssinica",0,0,0,2
"Clausena anisata",0,0,0,2
"Cordia africana",0,0,0,50
"Cordia millenii",0,3,0,1
"Diospyros abyssinica",83,73,19,0
"Ehretia cymosa",0,0,0,1
"Fagaropsis angolensis",14,5,1,0
"Ficus cyathistipula",0,0,0,6
"Ficus exasperata",210,160,38,75
"Ficus natalensis",7,0,10,99
"Ficus ottoniifolia",0,0,0,3
"Ficus sansibarica",10,21,4,72
"Ficus saussureana",1,1,0,6
"Ficus sur",0,1,0,43
"Ficus thonningii",0,0,0,1
"Ficus vallis-choudae",0,0,0,6
"Funtumia africana",6,8,0,0
"Lepisanthes senegalensis",0,0,0,2
"Macaranga Houle2010.unidsp.mult",3,0,0,0
"Mimusops bagshawei",0,0,0,306
"Monodora myristica",0,0,0,4
"Morus mesozygia",0,0,0,1
"Phytolacca dodecandra",0,0,0,3
"Pouteria altissima",0,0,0,8
"Pseudospondias microcarpa",0,0,0,19
"Pterygota mildbraedii",0,0,0,1
"Strychnos mitis",13,52,34,0
"Uvariopsis congensis",228,87,11,11
