"","Agapornis pullarius","Baeopogon indicator","Bostrychia hagedash","Bycanistes cylindricus","Bycanistes fistulator","Bycanistes subcylindricus","Cephalophus niger","Cephalophus rufilatus","Cercocebus atys","Cercopithecus lowei","Cercopithecus petaurista","Chlorocebus sabaeus","Cinnyricinclus leucogaster","Colobus polykomos","Coracina pectoralis","Cossypha niveicapilla","Crinifer piscator","Criniger barbatus","Dicrurus adsimilis","Emberiza cabanisi","Erythrocebus patas","Estrilda troglodytes","Francolinus Hovestadt1997.unidsp.mult","Heliosciurus Hovestadt1997.unidsp.mult","Indicator indicator","Kobus kob","Lamprotornis Hovestadt1997.unidsp.mult","Lybius dubius","Lybius vieilloti","Malaconotus blanchoti","Melaenornis edolioides","Musophaga violacea","Nectarinia Hovestadt1997.unidsp.mult","Numida Hovestadt1997.unidsp.mult","Oriolus auratus","Oriolus brachyrynchus","Ourebia ourebi","Papio anubis","Parus guineensis","Phacochoerus africanus","Philantomba maxwellii","Phoeniculus purpureus","Ploceus Hovestadt1997.unidsp.mult","Pogoniulus bilineatus","Pogoniulus chrysoconus","Poicephalus robustus","Poicephalus senegalus","Pycnonotus barbatus","Rhinopomastus aterrimus","Serinus Hovestadt1997.unidsp.mult","Streptopelia Hovestadt1997.unidsp.mult","Sylvietta brachyura","Sylviidae Hovestadt1997.unidsp.mult","Tauraco persa","Tockus fasciatus","Tockus nasutus","Tragelaphus scriptus","Treron calvus","Turdoides plebejus","Turdus pelios","Turtur brehmeri","Vidua macroura","Zosterops senegalensis"
"Antiaris toxicaria var. africana",0,0,0,23,107,99,7,5,0,0,0,0,47,3,0,0,0,0,0,0,0,0,0,1,0,0,172,49,25,0,0,0,0,0,22,0,0,18,0,0,9,0,5,0,0,0,0,1025,0,16,0,0,0,28,12,10,3,9,0,69,0,0,0
"Antidesma venosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,5,0,0,0,0,1,0,0,0,0,5,0,0,0
"Bridelia ferruginea",0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,7,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,89,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0
"Celtis toka",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,154,0,0,9,0,0,6,0,0,0,4,0,4,0,0,0
"Celtis zenkeri",0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,4,0,0,7,0,0,0,14,0,235,0,0,0
"Crateva religiosa",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diospyros abyssinica",0,1,0,0,8,10,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,2,0,0,0,72,0,3,0,0,0,1,0,0,0,0,0,20,0,0,16
"Diospyros mespiliformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diospyros vera",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,61,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Ficus glumosa",0,0,0,0,40,4,4,1,0,0,0,0,387,0,3,0,0,0,1,0,0,1,0,0,0,0,377,6,50,0,1,2,2,0,52,0,0,8,2,0,3,1,13,8,8,0,2,795,1,113,2,0,6,4,8,36,0,218,1,107,0,0,33
"Ficus ingens",0,2,1,0,94,12,2,6,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,7,0,2,95,2,33,0,0,0,0,0,19,1,1,1,0,0,1,0,5,2,5,0,1,625,0,66,0,0,0,17,10,13,1,496,0,44,0,0,7
"Ficus platyphylla",0,0,0,2,152,118,11,12,0,0,0,0,157,0,0,0,0,0,0,2,1,0,2,4,0,0,520,2,64,0,0,0,0,55,27,0,4,0,0,1,25,0,18,0,7,0,0,679,0,563,0,0,0,50,9,43,3,1052,0,109,0,0,2
"Ficus polita",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus thonningii",0,0,0,8,85,27,0,9,20,29,8,12,121,1,1,0,0,0,0,0,0,0,0,65,0,0,121,22,36,1,1,0,11,41,44,36,0,14,0,0,10,0,3,11,3,0,0,1266,1,104,0,0,22,41,8,3,0,521,1,189,1,0,14
"Ficus trichopoda",1,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,56,0,12,0,0,0,0,0,0,0,2,0,9,0,0,2
