"","Alces alces","Bison bonasus","Capreolus capreolus","Cervus elaphus","Sus scrofa"
"Achillea millefolium",0,0,12,1,0
"Agrostis canina",1,0,3,75,0
"Agrostis capillaris",0,15,5,9,0
"Agrostis gigantea",0,0,1,4,0
"Agrostis stolonifera",2,10,19,84,0
"Alnus glutinosa",0,0,0,1,0
"Alopecurus geniculatus",0,0,2,37,0
"Alopecurus pratensis",0,0,1,8,0
"Anagallis arvensis",0,0,2,5,0
"Anthemis cotula",0,0,0,5,0
"Anthemis ruthenica",0,0,0,2,0
"Anthoxanthum odoratum",0,2,0,0,0
"Apera spica-venti",0,0,0,29,0
"Arabidopsis arenosa",0,0,0,1,0
"Arabidopsis thaliana",0,0,1,0,0
"Arrhenatherum elatius",0,0,0,31,0
"Artemisia vulgaris",0,2,1,2,0
"Atriplex prostrata",0,0,1,0,0
"Betula Jaroszewicz2013.unidsp.961",3,10,0,9,4
"Calamagrostis arundinacea",0,0,0,1,0
"Calamagrostis canescens",1,0,0,0,0
"Calluna vulgaris",4,0,0,1,0
"Campanula trachelium",0,0,0,4,0
"Capsella bursa-pastoris",0,0,0,24,0
"Carex canescens",0,4,0,1,0
"Carex echinata",0,0,0,1,0
"Carex elongata",0,1,0,0,0
"Carex flava",1,0,2,0,0
"Carex hirta",1,1,0,1,0
"Carex Jaroszewicz2013.unidsp.793",0,67,0,0,18
"Carex leporina",0,3,0,2,0
"Carex nigra",0,7,0,0,0
"Carex pairae",0,0,0,1,0
"Carex panicea",0,5,0,0,0
"Carex pilosa",0,1,0,0,0
"Carex pseudocyperus",0,2,0,0,0
"Carex remota",0,46,4,20,28
"Carex spicata",0,5,0,3,0
"Carex sylvatica",0,2,1,0,1
"Carex vulpina",0,2,0,2,0
"Carpinus betulus",0,0,1,1,0
"Cerastium fontanum subsp. vulgare",1,7,6,11,0
"Chelidonium majus",0,0,1,1,0
"Chenopodium album",0,0,204,68,0
"Chrysosplenium alternifolium",1,0,1,0,0
"Circaea intermedia",0,2,0,1,0
"Circaea lutetiana",0,1,0,0,0
"Cirsium arvense",0,0,0,1,0
"Clinopodium vulgare",0,0,0,4,0
"Corynephorus canescens",3,0,0,0,0
"Cota tinctoria",0,0,29,0,0
"Cruciata glabra",0,1,0,0,0
"Cyperus fuscus",0,1,0,0,0
