"","Funambulus sublineatus","Garrulax cinereifrons","Gracula ptilogenys","Loris Jayasekara2003.unidsp.mult","Muridae Jayasekara2003.unidsp.mult","Ocyceros gingalensis","Paradoxurus zeylonensis","Petinomys fuscocapillus","Pteropodidae Jayasekara2003.unidsp.183","Ratufa macroura","Semnopithecus vetulus","Turdoides rufescens"
"Artocarpus nobilis",0,0,0,17,0,0,17,0,0,26,0,0
"Coscinium fenestratum",0,0,0,0,26,0,0,0,0,51,0,0
"Cullenia rosayroana",0,7,0,9,0,0,0,51,0,0,17,7
"Diospyros racemosa",15,0,0,0,0,0,0,0,26,0,19,0
"Durio ceylanicus",0,0,0,0,0,0,0,17,24,0,0,0
"Dysoxylum gotadhora",0,0,0,0,0,0,0,0,0,0,41,0
"Garcinia hermonii",0,0,0,0,15,0,0,0,0,0,0,0
"Myristica dactyloides",0,0,39,0,0,26,0,0,0,0,0,0
"Podadenia sapida",0,0,0,0,0,0,0,0,0,0,19,0
"Semecarpus walkeri",17,0,0,0,0,0,0,22,0,0,0,0
