"","Bandicota indica","Chalcophaps indica","Cynopterus sphinx","Funambulus layardi","Galloperdix bicalcarata","Gallus lafayetii","Garrulax cinereifrons","Gracula ptilogenys","Herpestes fuscus","Loris tardigradus","Moschiola meminna","Muridae Jayasekara2007.unidsp.mult","Ocyceros gingalensis","Paradoxurus zeylonensis","Petinomys fuscocapillus","Ratufa macroura","Semnopithecus vetulus","Soricidae Jayasekara2007.unidsp.mult","Sus scrofa","Turdoides rufescens","Viverricula indica"
"Artocarpus nobilis",54,0,0,0,0,20,0,0,0,24,0,0,0,19,0,24,0,0,0,0,82
"Coscinium fenestratum",0,0,0,29,0,0,0,0,0,0,29,36,0,0,0,43,0,0,0,0,0
"Cullenia rosayroana",36,34,0,46,15,0,27,0,0,26,31,39,0,15,119,0,39,0,0,29,39
"Diospyros racemosa",0,0,54,44,0,0,0,0,0,0,31,37,0,0,0,0,41,0,0,0,0
"Durio ceylanicus",0,0,56,22,0,0,0,0,0,0,0,32,0,0,0,14,0,0,0,0,0
"Dysoxylum gotadhora",0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,95,0,0,0,0
"Garcinia hermonii",0,0,0,24,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,32
"Glenniea unijuga",0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,41,0,0,0,0
"Heynea trifolia",0,0,0,31,31,17,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
"Horsfieldia irya",0,0,0,26,0,24,0,102,0,0,26,0,19,0,0,0,0,0,0,0,0
"Mangifera zeylanica",0,0,0,156,0,0,0,0,0,0,41,27,0,17,0,0,0,32,32,0,0
"Myristica dactyloides",0,0,0,22,0,0,0,102,31,0,0,85,85,0,0,0,0,0,0,0,29
"Podadenia sapida",0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,48,0,0,0,0
"Prunus walkeri",0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,36,0,0,0,0
"Semecarpus walkeri",0,0,0,32,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0
