"","Alophoixus pallidus","Ampeliceps coronatus","Anorrhinus austeni","Anthracoceros albirostris","Arctictis binturong","Buceros bicornis","Callosciurus finlaysonii","Coracina melaschistos","Ducula badia","Eumyias thalassinus","Gracula religiosa","Hemixos flavala","Hylobates lar","Iole propinqua","Irena puella","Macaca nemestrina","Megalaima australis","Megalaima faiostricta","Megalaima incognita","Megalaima lineata","Oriolus chinensis","Pycnonotus finlaysoni","Pycnonotus flaviventris","Ratufa bicolor","Rhyticeros undulatus","Tamiops mcclellandii","Treron curvirostra","Zosterops palpebrosus"
"Aglaia lawii",0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aglaia spectabilis",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"Bhesa robusta",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnamomum subavenium",1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Elaeagnus conferta",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Ficus altissima",1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0
"Ficus benjamina",0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0
"Ficus subcordata",0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0
"Glochidion sphaerogynum",1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gnetum montanum",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Macaranga tanarius",1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1
"Magnolia baillonii",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1
"Nephelium melliferum",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Platymitra macrocarpa",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sloanea sigun",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
