"","Acridotheres fuscus","Acridotheres tristis","Aegithina tiphia","Corvus levaillantii","Corvus splendens","Dendrocitta vagabunda","Eudynamys scolopaceus","Gracupica contra","Megalaima asiatica","Megalaima haemacephala","Megalaima lineata","Megalaima viridis","Megalaima zeylanica","Oriolus xanthornus","Parus major","Pycnonotus cafer","Pycnonotus jocosus","Sturnia malabarica","Zosterops palpebrosus"
"Acacia auriculiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Aporosa Kamruzzaman2008.unidsp.906",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Artocarpus chama",1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Azadirachta indica",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Bridelia hispida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Carica papaya",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Clerodendrum infortunatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Ficus benghalensis",4,1,0,0,8,8,2,0,1,6,8,1,1,0,0,3,1,4,0
"Ficus hispida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ficus lamponga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Ficus religiosa",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ficus tinctoria subsp. gibbosa",1,0,0,1,0,1,2,2,0,0,1,0,0,0,0,2,2,1,0
"Garuga pinnata",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,3,0
"Glochidion Kamruzzaman2008.unidsp.874",1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,0,3,0
"Grewia asiatica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Ilex godajam",2,0,0,0,0,0,0,3,0,0,1,0,0,0,1,3,0,1,0
"Lannea coromandelica",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
"Lantana camara",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0
"Litsea monopetala",2,1,0,0,0,0,0,2,0,0,1,0,0,1,0,2,1,0,0
"Magnolia champaca",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"Melastoma malabathricum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
"Phoenix sylvestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Phyllanthus reticulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Psidium guajava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Syzygium cumini",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
"Trema orientalis",0,0,1,0,0,1,0,4,0,0,2,0,0,0,0,11,11,7,1
"Vitex peduncularis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
