"","Anisognathus somptuosus","Atlapetes albinucha","Cardellina canadensis","Catharus ustulatus","Chlorochrysa nitidissima","Chlorophonia cyanea","Chlorospingus canigularis","Cyanocorax yncas","Eubucco bourcierii","Euphonia xanthogaster","Momotus momota","Myadestes ralloides","Myioborus miniatus","Patagioenas fasciata","Pheucticus ludovicianus","Piaya cayana","Pionus tumultuosus","Pipraeidea melanonota","Piranga rubra","Pyroderus scutatus","Ramphocelus flammigerus","Saltator atripennis","Setophaga fusca","Tangara arthus","Tangara cyanicollis","Tangara heinei","Tangara labradorides","Tangara vitriolina","Tangara xanthocephala","Thraupis episcopus","Thraupis palmarum","Turdus ignobilis"
"Aniba muca",7,0,2,1,2,0,7,3,0,9,0,0,3,0,0,0,0,0,6,8,1,0,1,15,0,2,2,0,0,0,0,3
"Cecropia telealba",3,2,1,1,3,0,5,1,0,10,7,0,0,0,0,1,0,1,4,16,46,0,7,14,2,9,8,0,2,14,7,10
"Miconia acuminifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,0,2,0,1,0,1
"Miconia aeruginosa",0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,14,1,1,0,2,1,0
"Miconia Kessler-Rios2012.unidsp.1",0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia notabilis",16,1,11,21,0,6,9,9,0,0,0,0,3,8,0,5,0,13,3,0,21,3,24,3,0,9,1,5,0,9,1,28
"Miconia theizans",13,0,0,0,2,0,4,1,12,10,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,0,18,0,6,0,0,0
"Miconia wurdackii",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5
"Nectandra lineatifolia",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,4,0,0,0,3
"Ossaea micrantha",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus guyanensis",0,0,0,4,0,0,0,0,0,2,0,0,1,14,27,0,0,0,3,0,19,1,2,1,0,14,0,4,0,23,3,48
"Satyria breviflora",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Trema micrantha",0,0,1,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
