"","Axis axis","Boselaphus tragocamelus","Rusa unicolor"
"Acacia catechu",1,0,1
"Acacia nilotica",1,1,1
"Acacia senegal",1,0,0
"Balanites aegyptiaca",1,0,0
"Bauhinia racemosa",1,0,1
"Carissa carandas",1,0,0
"Cassia fistula",1,0,0
"Cassia tora",1,0,1
"Catunaregam spinosa",1,0,0
"Diospyros melanoxylon",1,0,0
"Phyllanthus emblica",1,0,1
"Syzygium rubicundum",1,0,0
"Terminalia bellirica",1,0,1
"Vachellia leucophloea",1,1,1
"Wrightia tinctoria",1,1,0
"Ziziphus jujuba",1,1,0
"Ziziphus nummularia",1,0,0
"Ziziphus oenopolia",1,1,0
"Ziziphus xylopyrus",1,1,0
