"","Bucerotidae Kitamura2002.unidsp.mult","Cervidae Kitamura2002.unidsp.mult","Columbidae Kitamura2002.unidsp.mult","Elephas maximus","Hylobates Kitamura2002.unidsp.mult","Macaca Kitamura2002.unidsp.mult","Pycnonotidae Kitamura2002.unidsp.mult","Sciuridae Kitamura2002.unidsp.mult","Ursidae Kitamura2002.unidsp.mult","Viverridae Kitamura2002.unidsp.mult"
"Acronychia pedunculata",0,0,0,0,0,0,0,1,0,1
"Aglaia lawii",1,0,1,0,0,0,1,1,0,0
"Aglaia spectabilis",1,0,1,0,0,0,0,1,0,0
"Alangium chinense",0,0,0,0,0,0,1,0,0,0
"Alangium kurzii",1,0,0,0,0,0,1,0,0,0
"Alphonsea cylindrica",0,1,0,0,1,1,0,1,0,1
"Alpinia oxymitra",0,0,0,0,0,1,0,0,0,0
"Ampelopsis cantoniensis",0,0,0,0,0,0,1,0,0,0
"Anamirta cocculus",1,0,0,0,0,1,0,0,0,0
"Antiaris toxicaria",1,1,1,0,1,1,0,1,0,1
"Antidesma bunius",0,0,0,0,0,0,1,0,0,0
"Aphanamixis polystachya",1,0,1,0,0,0,0,1,0,0
"Aporosa planchoniana",0,0,0,0,0,0,1,1,0,0
"Aporosa yunnanensis",0,0,0,0,0,1,1,1,0,0
"Ardisia Kitamura2002.unidsp.637",0,0,0,0,0,0,1,0,0,0
"Ardisia nervosa",0,0,0,0,0,1,1,0,0,0
"Ardisia paniculata",0,0,0,0,0,1,1,0,0,0
"Areca triandra",1,1,0,0,0,1,0,1,0,1
"Artocarpus gomezianus",0,1,0,0,1,1,0,0,0,0
"Artocarpus lacucha",0,1,0,0,1,1,0,0,0,0
"Baccaurea ramiflora",0,1,0,0,1,1,0,1,0,1
"Balakata baccata",0,1,0,0,1,1,0,1,0,1
"Beilschmiedia balansae",1,1,1,0,1,1,0,1,0,0
"Beilschmiedia maingayi",1,1,1,0,1,1,0,1,0,0
"Beilschmiedia villosa",1,1,1,0,1,1,0,1,0,0
"Bhesa robusta",1,0,0,0,0,0,1,1,0,0
"Breynia Kitamura2002.unidsp.1",0,0,0,0,0,0,1,0,0,0
"Bridelia insulana",1,1,1,0,1,1,1,1,1,1
"Bridelia tomentosa",0,0,0,0,0,0,1,0,0,1
"Buchanania arborescens",0,0,0,0,1,0,0,0,0,0
"Calamus Kitamura2002.unidsp.1",0,0,0,0,0,1,0,0,0,1
"Callicarpa bodinieri",0,0,0,0,0,0,1,0,0,0
"Canarium euphyllum",1,1,1,0,0,0,0,1,0,0
"Canthium coffeoides",0,1,0,0,0,1,0,0,0,0
"Canthium glabrum",1,0,0,0,1,0,0,0,0,0
"Casearia calva",0,0,1,0,0,0,1,1,0,0
"Casearia grewiifolia",1,0,1,0,0,0,1,0,0,0
"Casearia Kitamura2002.unidsp.1",0,0,0,0,0,0,1,0,0,0
"Casearia Kitamura2002.unidsp.3",0,0,0,0,0,0,0,1,0,0
"Cayratia Kitamura2002.unidsp.1",0,0,0,0,0,0,1,0,0,0
"Celastrus paniculatus",1,0,0,0,0,0,1,1,0,0
"Celtis tetrandra",0,0,0,0,0,0,1,1,0,0
"Chionanthus ramiflorus",1,0,0,0,1,0,0,1,0,0
"Choerospondias axillaris",0,1,0,1,1,1,0,1,0,0
"Chrysophyllum roxburghii",0,1,0,0,1,1,0,1,0,1
"Cinnamomum glaucescens",1,0,1,0,1,1,0,1,0,0
"Cinnamomum iners",0,0,1,0,0,0,1,0,0,0
"Cinnamomum subavenium",1,1,1,0,1,1,1,1,1,0
"Cissus convolvulacea",0,0,0,0,1,1,1,0,0,0
"Citrus Kitamura2002.unidsp.1",0,1,0,1,0,0,0,0,0,0
"Claoxylon indicum",0,0,0,0,0,1,1,0,0,0
"Clausena excavata",0,0,0,0,0,1,1,0,0,0
"Clausena harmandiana",0,0,0,0,0,1,1,0,0,0
"Clerodendrum paniculatum",0,0,0,0,0,0,1,0,0,0
"Clerodendrum villosum",0,0,0,0,0,0,1,0,0,0
"Cryptocarya impressa",1,0,1,0,1,1,1,1,0,0
"Cryptocarya kurzii",1,0,1,0,1,1,1,1,0,0
"Daphniphyllum Kitamura2002.unidsp.1",0,0,1,0,0,0,1,0,0,0
"Dasymaschalon sootepense",1,0,0,0,0,1,1,0,0,1
"Decaspermum parviflorum",0,0,1,0,0,1,1,0,0,0
"Desmos chinensis",1,0,1,0,1,1,1,0,0,1
"Dimocarpus longan",0,0,0,0,1,1,0,1,0,1
"Diospyros glandulosa",0,1,0,1,1,1,0,1,1,1
"Diplectria divaricata",0,0,0,0,1,0,1,0,0,0
"Diploclisia glaucescens",0,1,1,0,1,1,1,1,0,1
"Dysoxylum cyrtobotryum",1,0,1,0,0,0,0,1,0,0
"Dysoxylum densiflorum",1,0,0,0,0,0,0,1,0,0
"Elaeagnus latifolia",1,1,1,0,1,1,1,1,0,1
"Elaeocarpus griffithii",0,0,0,0,1,1,0,1,0,0
"Elaeocarpus tectorius",0,1,0,0,1,1,0,1,0,0
"Erycibe Kitamura2002.unidsp.1",0,0,0,0,1,1,0,1,0,1
"Euphorbiaceae Kitamura2002.unidsp.1",0,0,0,0,0,0,1,1,0,0
"Eurya acuminata",0,0,0,0,0,0,1,0,0,0
