"","Martes melampus","Meles anakuma","Nyctereutes procyonoides","Ursus thibetanus","Vulpes vulpes"
"Actinidia Koike2008.unidsp.mult",31,7,7,6,6
"Akebia Koike2008.unidsp.mult",4,2,2,2,2
"Berchemia racemosa",0,0,0,3,0
"Cerasus jamasakura var. jamasakura",10,3,2,10,1
"Cornus controversa",5,0,0,3,0
"Cornus kousa subsp. kousa",7,0,0,2,1
"Diospyros kaki",10,2,1,2,0
"Prunus grayana",5,3,3,4,0
"Prunus incisa",2,1,1,1,0
"Prunus leveilleana",6,3,4,6,2
"Prunus maximowiczii",5,1,4,8,1
"Prunus sargentii",0,0,0,2,0
"Rubus Koike2008.unidsp.mult",13,6,8,3,4
"Schisandra repanda",0,0,0,1,0
"Sorbus commixta",0,0,0,1,0
"Vitis coignetiae",1,0,2,2,2
