"","Caluromys philander","Gracilinanus agilis","Marmosops incanus","Metachirus nudicaudatus","Micoureus paraguayanus"
"Amaioua guianensis",0,0,0,0,3
"Clidemia urceolata",3,3,7,3,2
"Melastomataceae Lessa2010.unidsp.1",1,1,2,0,1
"Miconia holosericea",2,0,3,1,2
"Myrcia Lessa2010.unidsp.571",2,0,0,0,2
"Myrtaceae Lessa2010.unidsp.1",0,0,0,1,0
"Ocotea lancifolia",1,0,0,0,0
"Ocotea Lessa2010.unidsp.109",1,0,0,0,0
"Psychotria capitata",1,2,2,0,0
"Psychotria hoffmannseggiana",0,2,0,0,1
"Rubiaceae Lessa2010.unidsp.1",0,1,1,0,0
"Tapirira obtusa",0,0,0,0,1
"Unidentified Lessa2010.unidsp.mult",1,4,2,0,1
"Vismia gracilis",2,0,0,0,0
