"","Artibeus cinereus","Artibeus gnomus","Artibeus lituratus","Artibeus obscurus","Carollia perspicillata","Chiroderma villosum","Phyllostomus hastatus","Platyrrhinus recifinus","Rhinophylla pumilio","Sturnira lilium","Sturnira tildae","Uroderma magnirostrum","Vampyressa pusilla"
"Acacia mangium",0,0,0,0,2,0,0,0,0,0,0,0,0
"Araceae Lima2016.unidsp.86",0,0,1,0,1,0,0,0,1,0,0,0,0
"Byrsonima stipulacea",0,0,2,0,0,0,0,0,0,0,0,0,0
"Cecropia glaziovii",0,0,30,5,3,0,2,1,1,1,0,0,0
"Cecropia hololeuca",0,0,5,0,0,0,0,5,0,0,0,0,0
"Cecropia Lima2016.unidsp.653",0,0,14,1,1,0,0,0,1,0,0,1,0
"Ficus clusiifolia",0,0,0,0,1,0,0,0,0,0,0,0,0
"Ficus Lima2016.unidsp.1",3,0,13,1,0,3,0,0,1,0,0,0,0
"Ficus Lima2016.unidsp.2",0,1,5,1,0,0,0,0,0,0,0,0,4
"Ficus Lima2016.unidsp.3",0,0,0,0,0,0,0,0,0,0,0,0,2
"Humiriastrum mussunungense",0,0,1,0,0,0,0,0,0,0,0,0,0
"Miconia cinnamomifolia",0,0,1,0,2,0,0,0,0,0,0,0,0
"Myrtaceae Lima2016.unidsp.158",0,0,0,0,1,0,0,0,0,0,0,0,0
"Phellodendron Lima2016.unidsp.661",0,0,0,0,2,0,0,0,2,0,0,0,0
"Piper Lima2016.unidsp.1",0,0,3,1,31,0,0,0,2,0,0,0,0
"Piper Lima2016.unidsp.2",0,0,0,0,2,0,0,0,0,0,0,0,0
"Piper Lima2016.unidsp.3",0,0,0,0,0,0,0,0,1,0,0,0,0
"Psidium Lima2016.unidsp.567",0,0,0,0,6,0,0,0,0,0,0,0,0
"Solanaceae Lima2016.unidsp.1000",0,0,0,0,0,0,0,0,1,0,0,0,0
"Solanum Lima2016.unidsp.1",0,0,1,0,26,0,0,1,0,7,2,0,0
"Solanum Lima2016.unidsp.2",0,0,0,0,26,0,0,1,0,2,0,0,1
"Solanum Lima2016.unidsp.3",0,0,0,0,1,0,0,0,0,0,0,0,0
"Vismia martiana",0,0,1,0,40,0,0,0,7,0,0,0,0
